"","GEOID","COCFLAG_2017","COC_FLAG_2018","Gain_Loss_2014_2016"
"1","06001400100",0,0,0
"2","06001400200",0,0,0
"3","06001400300",0,0,0
"4","06001400400",0,0,0
"5","06001400500",0,0,0
"6","06001400600",1,0,-1
"7","06001400700",1,0,-1
"8","06001400800",0,0,0
"9","06001400900",0,0,0
"10","06001401000",1,1,0
"11","06001401100",0,0,0
"12","06001401200",0,0,0
"13","06001401300",1,0,-1
"14","06001401400",1,1,0
"15","06001401500",1,1,0
"16","06001401600",1,1,0
"17","06001401700",1,0,-1
"18","06001401800",1,1,0
"19","06001402200",1,1,0
"20","06001402400",1,1,0
"21","06001402500",1,1,0
"22","06001402600",1,1,0
"23","06001402700",1,1,0
"24","06001402800",1,1,0
"25","06001402900",1,1,0
"26","06001403000",1,1,0
"27","06001403100",1,1,0
"28","06001403300",1,1,0
"29","06001403400",1,1,0
"30","06001403501",1,0,-1
"31","06001403502",0,0,0
"32","06001403600",0,0,0
"33","06001403701",0,0,0
"34","06001403702",0,0,0
"35","06001403800",0,0,0
"36","06001403900",0,0,0
"37","06001404000",0,0,0
"38","06001404101",0,0,0
"39","06001404102",0,0,0
"40","06001404200",0,0,0
"41","06001404300",0,0,0
"42","06001404400",0,0,0
"43","06001404501",0,0,0
"44","06001404502",0,0,0
"45","06001404600",0,0,0
"46","06001404700",0,0,0
"47","06001404800",0,0,0
"48","06001404900",0,0,0
"49","06001405000",0,0,0
"50","06001405100",0,0,0
"51","06001405200",0,0,0
"52","06001405301",0,0,0
"53","06001405302",1,1,0
"54","06001405401",1,1,0
"55","06001405402",1,1,0
"56","06001405500",1,1,0
"57","06001405600",1,1,0
"58","06001405700",1,1,0
"59","06001405800",1,1,0
"60","06001405901",1,1,0
"61","06001405902",1,1,0
"62","06001406000",1,1,0
"63","06001406100",1,1,0
"64","06001406201",1,1,0
"65","06001406202",1,1,0
"66","06001406300",1,1,0
"67","06001406400",1,1,0
"68","06001406500",1,1,0
"69","06001406601",1,1,0
"70","06001406602",1,1,0
"71","06001406700",0,0,0
"72","06001406800",0,0,0
"73","06001406900",0,0,0
"74","06001407000",1,1,0
"75","06001407101",1,1,0
"76","06001407102",1,1,0
"77","06001407200",1,1,0
"78","06001407300",1,1,0
"79","06001407400",1,1,0
"80","06001407500",1,1,0
"81","06001407600",1,1,0
"82","06001407700",0,0,0
"83","06001407800",1,0,-1
"84","06001407900",0,0,0
"85","06001408000",0,0,0
"86","06001408100",0,0,0
