Supply Chain Class,Total Employment,Percentage of Total
1,811444.0,14.107915704123986
2,84389.0,1.4672027870750404
3,264297.0,4.595116603059308
4,789893.0,13.73322602579797
5,18498.0,0.32160965475730363
None,3783172.0,65.7749292251864
