FROM_,TO,OUT,MAPPING
0.000000000000000,1398.000000000000000,1,ValueToValue
1398.000000000000000,4622.000000000000000,2,ValueToValue
4622.000000000000000,7846.000000000000000,3,ValueToValue
7846.000000000000000,11070.000000000000000,4,ValueToValue
11070.000000000000000,14294.000000000000000,5,ValueToValue
14294.000000000000000,89997.000000000000000,6,ValueToValue
