"","GEOID","STATE","COUNTY_FIPS","TRACT","TOT_POP_MIN","TOT_POP_SEN","TOT_POP_POV","TOT_POP_CIV_NI","TOT_HH","TOT_FAM_CHILD","TOT_POP_OVER5","TOT_RENT_OCC_HOUS","POP_MINORITY","POP_OVER75","POP_SPFAM","POP_LEP","POP_BELOW200","POP_DISABILITY","POP_HUS_RENT50","POP_ZVHHS","PCT_OVER75","PCT_MINORITY","PCT_SPFAM","PCT_LEP","PCT_BELOW200","PCT_DISAB","PCT_ZVHHS","PCT_HUS_RENT50","OVER75_10","MINORITY_70","SPFAM_20","DISAB_25","LEP_20","BELOW200_30","ZVHH_10","HUS_RENT50_15","Count_DisadFact","COC_FLAG_2014"
"1","06001400100","06","001","400100",2952,2952,2952,2952,1286,203,2773,186,99,292,210,187,225,243,160,18,0.0989159891598916,0.0335365853658537,1.03448275862069,0.0674359899026325,0.0762195121951219,0.0823170731707317,0.0139968895800933,0.860215053763441,0,0,1,0,0,0,0,1,2,0
"2","06001400200","06","001","400200",1984,1984,1984,1984,832,162,1909,303,180,121,167,49,223,145,293,49,0.0609879032258065,0.0907258064516129,1.03086419753086,0.0256678889470927,0.112399193548387,0.0730846774193548,0.0588942307692308,0.966996699669967,0,0,1,0,0,0,0,1,2,0
"3","06001400300","06","001","400300",5377,5377,5310,5377,2489,457,5063,1386,370,295,485,418,757,390,1231,362,0.0548633066765855,0.0688116049841919,1.06126914660832,0.0825597471854632,0.14256120527307,0.0725311511995537,0.145439935717155,0.888167388167388,0,0,1,0,0,0,1,1,3,0
"4","06001400400","06","001","400400",4105,4105,4099,4099,1801,366,3846,1119,372,198,364,100,688,550,986,128,0.0482338611449452,0.0906211936662607,0.994535519125683,0.0260010400416017,0.167845816052696,0.134179068065382,0.0710716268739589,0.881143878462913,0,0,1,0,0,0,0,1,2,0
"5","06001400500","06","001","400500",3651,3651,3635,3651,1624,239,3422,1034,518,128,247,167,913,348,830,237,0.035058887975897,0.141878937277458,1.03347280334728,0.048801870251315,0.251169188445667,0.09531635168447,0.145935960591133,0.802707930367505,0,0,1,0,0,0,1,1,3,0
"6","06001400600","06","001","400600",1665,1665,1651,1665,701,137,1555,357,205,102,189,64,425,196,233,157,0.0612612612612613,0.123123123123123,1.37956204379562,0.0411575562700965,0.257419745608722,0.117717717717718,0.223965763195435,0.65266106442577,0,0,1,0,0,0,1,1,3,0
"7","06001400700","06","001","400700",4544,4544,4544,4544,1793,439,4305,1198,591,351,618,396,2293,845,788,436,0.0772447183098592,0.13006161971831,1.40774487471526,0.09198606271777,0.504621478873239,0.185959507042254,0.243167875069716,0.657762938230384,0,0,1,0,0,1,1,1,3,1
"8","06001400800","06","001","400800",3527,3527,3479,3521,1572,249,3410,984,442,141,261,269,1127,419,776,139,0.0399773178338531,0.12531896796144,1.04819277108434,0.0788856304985337,0.323943661971831,0.119000284010224,0.0884223918575064,0.788617886178862,0,0,1,0,0,1,0,1,2,0
"9","06001400900","06","001","400900",2175,2175,2141,2175,1013,222,2066,717,116,60,283,92,696,327,507,86,0.0275862068965517,0.0533333333333333,1.27477477477477,0.0445304937076476,0.325081737505838,0.150344827586207,0.0848963474827246,0.707112970711297,0,0,1,0,0,1,0,1,2,0
"10","06001401000","06","001","401000",5987,5987,5979,5979,2533,518,5809,1759,1176,177,803,380,2516,1012,1019,639,0.0295640554534825,0.196425588775681,1.55019305019305,0.0654157342055431,0.420806154875397,0.169259073423649,0.252270035530991,0.579306424104605,0,0,1,0,0,1,1,1,3,1
"11","06001401100","06","001","401100",4210,4210,4210,4210,2028,232,4062,1584,638,107,222,165,1385,322,1240,392,0.02541567695962,0.151543942992874,0.956896551724138,0.0406203840472674,0.328978622327791,0.0764845605700713,0.193293885601578,0.782828282828283,0,0,1,0,0,1,1,1,3,1
"12","06001401200","06","001","401200",2496,2496,2472,2462,1250,169,2415,799,453,81,198,171,569,179,644,237,0.0324519230769231,0.181490384615385,1.17159763313609,0.0708074534161491,0.230177993527508,0.0727051177904143,0.1896,0.806007509386733,0,0,1,0,0,0,1,1,3,0
"13","06001401300","06","001","401300",4018,4018,3711,3726,1727,168,3912,1484,537,284,243,745,2085,628,1189,646,0.070681931309109,0.133648581383773,1.44642857142857,0.190439672801636,0.561843168957154,0.168545356951154,0.374059061957151,0.801212938005391,0,0,1,0,0,1,1,1,3,1
"14","06001401400","06","001","401400",4190,4190,4138,4190,1516,412,4030,1240,988,211,478,668,2776,873,749,503,0.0503579952267303,0.235799522673031,1.16019417475728,0.16575682382134,0.670855485741904,0.208353221957041,0.33179419525066,0.604032258064516,0,0,1,0,0,1,1,1,3,1
"15","06001401500","06","001","401500",2213,2213,2213,2213,1002,138,2137,612,207,121,163,221,995,400,423,351,0.0546769091730682,0.0935381834613647,1.18115942028985,0.103416003743566,0.449615906009941,0.180750112968821,0.350299401197605,0.691176470588235,0,0,1,0,0,1,1,1,3,1
"16","06001401600","06","001","401600",1966,1966,1966,1966,731,181,1854,573,290,42,288,326,948,396,358,227,0.0213631739572737,0.147507629704985,1.59116022099448,0.175836030204962,0.482197355035605,0.201424211597152,0.310533515731874,0.62478184991274,0,0,1,0,0,1,1,1,3,1
"17","06001401700","06","001","401700",2806,2806,2790,2791,1241,236,2552,724,779,44,291,378,1055,260,494,139,0.0156806842480399,0.277619387027798,1.23305084745763,0.148119122257053,0.378136200716846,0.093156574704407,0.112006446414182,0.68232044198895,0,0,1,0,0,1,1,1,3,1
"18","06001401800","06","001","401800",1947,1947,1947,1947,725,287,1751,584,375,88,358,132,1202,243,357,246,0.0451977401129944,0.192604006163328,1.24738675958188,0.0753854940034266,0.617360041088855,0.124807395993837,0.339310344827586,0.611301369863014,0,0,1,0,0,1,1,1,3,1
"19","06001402200","06","001","402200",2452,2452,2440,2452,880,231,2322,562,528,131,355,462,1386,430,369,201,0.0534257748776509,0.215334420880914,1.53679653679654,0.198966408268734,0.568032786885246,0.17536704730832,0.228409090909091,0.656583629893238,0,0,1,0,0,1,1,1,3,1
"20","06001402400","06","001","402400",2958,2958,2938,2938,1189,350,2724,1023,258,203,430,547,1459,563,752,457,0.0686274509803922,0.0872210953346856,1.22857142857143,0.200807635829662,0.496596324029952,0.191626957113683,0.384356602186712,0.735092864125122,0,0,1,0,1,1,1,1,4,1
"21","06001402500","06","001","402500",1907,1907,1907,1907,725,388,1669,619,321,22,642,255,1439,338,440,280,0.0115364446775039,0.168327215521762,1.65463917525773,0.152786099460755,0.754588358678553,0.177241740954379,0.386206896551724,0.710823909531502,0,0,1,0,0,1,1,1,3,1
"22","06001402600","06","001","402600",1234,1234,1234,1234,655,58,1187,542,46,193,75,573,821,286,435,305,0.156401944894652,0.0372771474878444,1.29310344827586,0.482729570345409,0.665316045380875,0.231766612641815,0.465648854961832,0.802583025830258,1,0,1,0,1,1,1,1,5,1
"23","06001402700","06","001","402700",1831,1831,1799,1831,693,171,1765,587,300,82,246,198,918,290,405,313,0.0447842708902239,0.163844893500819,1.43859649122807,0.112181303116147,0.510283490828238,0.158383397050792,0.451659451659452,0.689948892674617,0,0,1,0,0,1,1,1,3,1
"24","06001402800","06","001","402800",3520,3520,3498,3485,2158,166,3361,2023,283,237,220,622,2113,950,1442,1193,0.0673295454545455,0.0803977272727273,1.32530120481928,0.185063969056828,0.604059462550029,0.272596843615495,0.552826691380908,0.71280276816609,0,0,1,1,0,1,1,1,4,1
"25","06001402900","06","001","402900",1458,1458,1367,1458,851,65,1418,846,164,171,60,432,670,314,687,521,0.117283950617284,0.112482853223594,0.923076923076923,0.304654442877292,0.490124359912217,0.215363511659808,0.612220916568743,0.812056737588652,1,0,1,0,1,1,1,1,5,1
"26","06001403000","06","001","403000",2704,2704,2704,2704,1501,155,2616,1204,67,821,167,1648,1776,802,857,780,0.30362426035503,0.0247781065088757,1.07741935483871,0.629969418960245,0.656804733727811,0.296597633136095,0.519653564290473,0.711794019933555,1,0,1,1,1,1,1,1,6,1
"27","06001403100","06","001","403100",1831,1831,1452,1461,704,77,1790,517,245,97,80,513,594,278,417,196,0.0529765155652649,0.133806663025669,1.03896103896104,0.28659217877095,0.409090909090909,0.190280629705681,0.278409090909091,0.806576402321083,0,0,1,0,1,1,1,1,4,1
"28","06001403300","06","001","403300",4118,4118,4061,4087,2205,229,4011,1678,195,307,278,1635,1633,570,1166,595,0.0745507527926178,0.0473530840213696,1.21397379912664,0.407629020194465,0.402117704998769,0.139466601419134,0.26984126984127,0.694874851013111,0,0,1,0,1,1,1,1,4,1
"29","06001403400","06","001","403400",4361,4361,4338,4338,2748,196,4222,2473,546,597,150,777,1548,847,1972,1125,0.136895207521211,0.125200642054575,0.76530612244898,0.184036001894837,0.356846473029046,0.195251267865376,0.40938864628821,0.797412050141528,1,0,1,0,0,1,1,1,4,1
"30","06001403501","06","001","403501",4562,4562,4500,4562,2562,407,4303,2201,754,435,426,812,2257,863,1668,703,0.0953529153879877,0.165278386672512,1.04668304668305,0.188705554264467,0.501555555555556,0.189171416045594,0.274395003903201,0.757837346660609,0,0,1,0,0,1,1,1,3,1
"31","06001403502","06","001","403502",2195,2195,2195,2195,1238,102,2136,932,202,28,122,126,464,249,744,175,0.012756264236902,0.0920273348519362,1.19607843137255,0.0589887640449438,0.211389521640091,0.113439635535308,0.141357027463651,0.798283261802575,0,0,1,0,0,0,1,1,3,0
"32","06001403600","06","001","403600",4484,4484,4367,4367,2518,367,4230,2112,484,178,473,323,1111,347,1854,251,0.0396966993755575,0.107939339875112,1.28882833787466,0.0763593380614657,0.254408060453401,0.0794595832379208,0.0996822875297855,0.877840909090909,0,0,1,0,0,0,0,1,2,0
"33","06001403701","06","001","403701",2812,2812,2774,2774,1677,166,2720,1501,257,331,228,179,645,363,1287,406,0.117709815078236,0.0913940256045519,1.37349397590361,0.0658088235294118,0.232516222062004,0.130857966834895,0.242098986285033,0.85742838107928,1,0,1,0,0,0,1,1,4,0
"34","06001403702","06","001","403702",1918,1918,1918,1918,1144,116,1918,865,178,71,145,48,283,156,702,195,0.0370177267987487,0.0928050052137643,1.25,0.0250260688216893,0.14754953076121,0.0813347236704901,0.170454545454545,0.811560693641619,0,0,1,0,0,0,1,1,3,0
"35","06001403800","06","001","403800",3372,3372,3372,3372,1801,249,3217,1209,271,134,266,124,427,236,1038,78,0.0397390272835113,0.080367734282325,1.06827309236948,0.0385452284737333,0.126631079478055,0.069988137603796,0.0433092726263187,0.858560794044665,0,0,1,0,0,0,0,1,2,0
"36","06001403900","06","001","403900",3983,3983,3983,3983,2271,355,3559,1466,135,324,463,447,963,476,1091,163,0.081345719307055,0.0338940497112729,1.30422535211268,0.125597077830851,0.24177755460708,0.119507908611599,0.0717745486569793,0.744201909959072,0,0,1,0,0,0,0,1,2,0
"37","06001404000","06","001","404000",2812,2812,2800,2812,1638,165,2672,1162,459,64,187,225,566,184,1038,137,0.0227596017069701,0.163229018492176,1.13333333333333,0.0842065868263473,0.202142857142857,0.0654338549075391,0.0836385836385836,0.89328743545611,0,0,1,0,0,0,0,1,2,0
