,county_name,county_fips,geoid,tot_fam_acs18,tot_fam_moe_acs18,tot_fam_acs13,tot_fam_moe_acs13,pop_spfam_acs18,pop_spfam_acs13,male_hh_child_acs18,male_hh_child_moe_acs18,male_hh_child_acs13,male_hh_child_moe_acs13,female_hh_child_acs18,female_hh_child_moe_acs18,female_hh_child_acs13,female_hh_child_moe_acs13,pct_spfam_acs18,pct_spfam_acs13,moe_over_est_acs18,moe_over_est_acs13
45,Contra Costa,013,06013359203,1781,134,1830,144,139,496,0,17,104,103,139,84,392,133,0.07804604154969118,0.2710382513661202,1,0
46,Contra Costa,013,06013370000,660,92,804,106,72,88,27,26,13,21,45,41,75,48,0.10909090909090909,0.10945273631840796,0,1
47,Contra Costa,013,06013386000,966,93,769,121,130,91,20,23,36,31,110,61,55,55,0.13457556935817805,0.11833550065019506,1,0
48,Contra Costa,013,06013389100,533,78,416,65,31,69,14,21,0,12,17,14,69,29,0.058161350844277676,0.1658653846153846,1,1
49,Contra Costa,013,06013389200,366,57,364,76,47,48,21,16,23,24,26,19,25,25,0.1284153005464481,0.13186813186813187,0,1
50,Contra Costa,013,06013305000,1335,190,1469,190,517,539,162,123,113,95,355,157,426,189,0.3872659176029963,0.3669162695711368,0,0
51,Contra Costa,013,06013312000,545,60,419,59,178,165,19,20,52,37,159,48,113,48,0.326605504587156,0.3937947494033413,1,0
52,Contra Costa,013,06013307205,1677,187,1456,174,535,440,21,27,104,95,514,171,336,128,0.3190220632081097,0.3021978021978022,1,0
53,Contra Costa,013,06013314104,1844,178,1608,227,605,620,193,114,107,105,412,172,513,189,0.32809110629067245,0.3855721393034826,0,0
54,Contra Costa,013,06013315000,1027,83,740,101,113,79,28,31,29,27,85,54,50,46,0.11002921129503408,0.10675675675675676,1,0
55,Contra Costa,013,06013320001,929,105,869,102,138,190,68,54,93,61,70,45,97,58,0.14854682454251883,0.2186421173762946,0,0
56,Contra Costa,013,06013308001,1922,221,2040,171,365,408,28,36,104,88,337,180,304,135,0.1899063475546306,0.2,1,0
57,Contra Costa,013,06013314200,1581,129,1355,123,289,382,127,87,111,106,162,88,271,87,0.1827956989247312,0.2819188191881919,0,0
58,San Mateo,081,06081603000,1104,129,943,97,117,138,23,25,24,28,94,48,114,60,0.10597826086956522,0.14634146341463414,1,1
59,San Mateo,081,06081609601,901,85,769,102,76,29,23,25,8,12,53,41,21,21,0.08435072142064373,0.0377113133940182,1,1
60,San Mateo,081,06081609800,1223,100,1256,95,59,67,43,34,19,23,16,20,48,35,0.0482420278004906,0.05334394904458599,1,1
61,San Mateo,081,06081610800,1052,116,1022,125,230,355,89,65,105,50,141,74,250,96,0.21863117870722434,0.3473581213307241,0,0
62,San Mateo,081,06081610900,1317,190,1762,178,339,234,56,56,99,89,283,181,135,106,0.25740318906605925,0.13280363223609534,0,0
63,San Mateo,081,06081611800,760,71,736,82,241,209,68,39,23,21,173,65,186,67,0.3171052631578947,0.28396739130434784,0,0
64,San Mateo,081,06081612600,1040,130,690,157,84,151,13,20,15,25,71,49,136,102,0.08076923076923077,0.21884057971014492,1,1
65,San Mateo,081,06081613200,1986,154,1985,167,156,86,34,39,16,23,122,96,70,50,0.07854984894259819,0.04332493702770781,1,1
66,San Mateo,081,06081613400,820,83,864,84,22,75,17,20,43,55,5,9,32,27,0.026829268292682926,0.08680555555555555,1,1
67,San Mateo,081,06081613700,2402,232,2205,196,162,160,72,81,32,34,90,66,128,91,0.06744379683597003,0.07256235827664399,1,1
68,San Mateo,081,06081608300,1020,81,926,110,67,57,24,25,0,12,43,47,57,46,0.06568627450980392,0.061555075593952485,1,1
69,San Mateo,081,06081609300,916,82,924,89,86,54,13,20,0,12,73,47,54,36,0.09388646288209607,0.05844155844155844,1,1
70,San Mateo,081,06081612700,589,57,536,61,29,13,4,6,9,14,25,18,4,7,0.04923599320882852,0.024253731343283583,1,1
71,San Mateo,081,06081612900,1235,94,1120,105,141,72,73,57,19,21,68,45,53,29,0.11417004048582996,0.06428571428571428,0,1
72,San Mateo,081,06081613300,813,71,736,82,17,66,12,13,19,21,5,7,47,31,0.020910209102091022,0.08967391304347826,1,1
73,San Mateo,081,06081613600,1784,169,1527,188,146,204,19,31,44,51,127,105,160,107,0.08183856502242152,0.13359528487229863,1,1
74,San Mateo,081,06081608700,1757,163,1683,139,49,14,30,33,0,17,19,30,14,21,0.027888446215139442,0.008318478906714201,1,1
