"","GEOID","STATE","COUNTY_FIPS","TRACT","TOT_POP_MIN","TOT_POP_SEN","TOT_POP_POV","TOT_POP_CIV_NI","TOT_HH","TOT_FAM_CHILD","TOT_POP_OVER5","TOT_RENT_OCC_HOUS","POP_MINORITY","POP_OVER75","POP_SPFAM","POP_LEP","POP_BELOW200","POP_DISABILITY","POP_HUS_RENT50","POP_ZVHHS","PCT_OVER75","PCT_MINORITY","PCT_SPFAM","PCT_LEP","PCT_BELOW200","PCT_DISAB","PCT_ZVHHS","PCT_HUS_RENT50","OVER75_10","MINORITY_70","SPFAM_20","DISAB_25","LEP_20","BELOW200_30","ZVHH_10","HUS_RENT50_15","Count_DisadFact","COC_FLAG"
"18","06001401800","06","001","401800",1866,1866,1866,1866,731,225,1698,563,361,83,271,141,1120,280,353,250,0.0444801714898178,0.193461950696677,1.20444444444444,0.0830388692579505,0.60021436227224,0.15005359056806,0.341997264021888,0.626998223801066,0,0,1,0,0,1,1,1,4,1
"19","06001402200","06","001","402200",2406,2406,2396,2406,838,242,2275,539,545,124,366,462,1425,374,331,180,0.0515378221113882,0.226517040731505,1.51239669421488,0.203076923076923,0.59474123539232,0.15544472152951,0.214797136038186,0.614100185528757,0,0,1,0,1,1,1,1,5,1
"20","06001402400","06","001","402400",2773,2773,2754,2754,1151,270,2589,958,237,168,334,458,1290,507,750,400,0.0605842048323116,0.0854670032455824,1.23703703703704,0.176902278872151,0.468409586056645,0.184095860566449,0.347523892267593,0.782881002087683,0,0,1,0,0,1,1,1,4,1
"21","06001402500","06","001","402500",1833,1833,1833,1833,704,333,1597,602,353,41,559,184,1195,392,446,283,0.022367703218767,0.192580469176214,1.67867867867868,0.115216030056356,0.651936715766503,0.213857064920895,0.401988636363636,0.740863787375415,0,0,1,0,0,1,1,1,4,1
"22","06001402600","06","001","402600",1272,1272,1272,1272,654,81,1197,553,94,134,111,507,833,266,450,307,0.105345911949686,0.0738993710691824,1.37037037037037,0.423558897243108,0.654874213836478,0.209119496855346,0.469418960244648,0.81374321880651,1,0,1,0,1,1,1,1,6,1
"23","06001402700","06","001","402700",1734,1734,1724,1734,680,128,1691,599,396,65,164,254,823,283,438,287,0.0374855824682814,0.228373702422145,1.28125,0.150206978119456,0.47737819025522,0.16320645905421,0.422058823529412,0.731218697829716,0,0,1,0,0,1,1,1,4,1
"24","06001402800","06","001","402800",3798,3798,3798,3773,2295,166,3711,2165,337,254,211,755,2200,989,1587,1247,0.0668773038441285,0.0887309110057925,1.2710843373494,0.20344920506602,0.579252238020011,0.262125629472568,0.543355119825708,0.733025404157044,0,0,1,1,1,1,1,1,6,1
"25","06001402900","06","001","402900",1392,1392,1298,1392,853,60,1357,848,167,133,58,377,630,303,691,548,0.0955459770114943,0.119971264367816,0.966666666666667,0.277818717759764,0.485362095531587,0.217672413793103,0.642438452520516,0.814858490566038,0,0,1,0,1,1,1,1,5,1
"26","06001403000","06","001","403000",3167,3167,3167,3167,1611,217,3077,1261,56,742,244,1943,1985,792,871,780,0.234291127249763,0.0176823492263972,1.12442396313364,0.631459213519662,0.626776128828544,0.250078939059046,0.484171322160149,0.690721649484536,1,0,1,1,1,1,1,1,7,1
"27","06001403100","06","001","403100",1721,1721,1416,1427,712,78,1680,516,171,104,62,476,635,265,394,207,0.0604299825682743,0.0993608367228356,0.794871794871795,0.283333333333333,0.448446327683616,0.185704274702172,0.290730337078652,0.763565891472868,0,0,1,0,1,1,1,1,5,1
