Bay_Area_Jurisdiction,Single_Family_Parcels,Total_Residential_Units,Single_Family_Parcels_2_Units,Single_Family_Parcels_3_Units,Single_Family_Parcels_4_Units
Alameda,9398,19651,1968,740,495
Albany,4337,6460,293,48,51
Antioch,790,835,9,NULL,NULL
Atherton,1189,1218,41,2,NULL
Belmont,1555,3436,326,66,10
Belvedere,152,239,7,1,3
Berkeley,18514,44504,3908,1074,792
Burlingame,4908,10268,476,133,95
Campbell,2611,6699,729,256,111
Colma,202,599,56,25,5
Concord,1908,2189,41,2,16
Cotati,177,437,13,3,NULL
Cupertino,3132,3962,349,40,14
Daly City,15558,26881,1774,345,202
Dublin,1910,6701,247,55,9
East Palo Alto,180,279,13,1,1
El Cerrito,4851,7574,220,32,80
Emeryville,441,3656,9,19,35
Fairfield,382,771,57,20,14
Fremont,6980,18661,633,119,45
Gilroy,1224,3758,223,75,47
Hayward,3283,8762,465,160,89
Hercules,118,112,NULL,NULL,NULL
Hillsborough,473,513,3,2,NULL
Lafayette,663,1211,32,14,18
Larkspur,764,1010,27,1,4
Livermore,1281,3329,198,26,26
Los Altos,1348,2062,169,13,NULL
Marin County,1,1,NULL,NULL,NULL
Martinez,619,1337,80,19,16
Menlo Park,3403,6530,307,123,136
Millbrae,2287,4009,248,95,75
Milpitas,679,836,114,21,4
Morgan Hill,825,1295,197,61,24
Mountain View,4486,12340,905,343,205
Novato,1065,2136,28,7,NULL
Oakland,61850,113095,10359,2638,2416
Orinda,423,367,4,NULL,NULL
Pacifica,350,393,NULL,NULL,NULL
Palo Alto,5003,6085,585,109,38
Petaluma,1215,2361,256,50,14
Piedmont,619,627,5,2,1
Pittsburg,1502,2267,104,11,5
Pleasant Hill,1,1,NULL,NULL,NULL
Pleasanton,1596,3448,249,21,2
Redwood City,2617,8658,499,231,169
Richmond,6526,7196,383,37,47
Rohnert Park,1703,1897,183,16,NULL
San Bruno,4217,6797,396,164,149
San Carlos,2017,3518,246,42,26
San Francisco,11883,14014,622,60,12
San Jose,62767,135267,11404,3178,1506
San Leandro,7332,14024,1166,227,143
San Mateo,5544,7147,798,189,50
San Mateo County,1,1,NULL,NULL,NULL
San Pablo,2689,4586,162,23,43
San Rafael,1106,1564,96,29,13
Santa Clara,10765,24741,2071,688,358
Santa Rosa,2060,5201,287,34,47
Sausalito,605,985,79,35,37
South San Francisco,4915,8953,452,194,94
Suisun City,180,174,NULL,NULL,NULL
Sunnyvale,8053,35735,1131,470,268
Tiburon,141,154,11,1,NULL
Unincorporated Alameda,6135,11775,1031,211,127
Unincorporated Contra Costa,834,898,66,5,1
Unincorporated Marin,124,125,2,NULL,NULL
Unincorporated San Mateo,3555,4916,396,145,55
Unincorporated Solano,5,2,NULL,NULL,NULL
Unincorporated Sonoma,144,188,38,6,1
Union City,4012,5414,643,82,12
Vallejo,192,549,48,20,10
Walnut Creek,562,636,11,4,8
Windsor,845,2161,118,21,7
