Bay_Area_Jurisdiction,Single_Family_Parcels,Total_Residential_Units,Single_Family_Parcels_2_Units,Single_Family_Parcels_3_Units,Single_Family_Parcels_4_Units
Alameda,3570,10392,716,301,245
Albany,1851,3087,122,22,25
Antioch,565,687,44,4,1
Atherton,44,46,NULL,1,NULL
Belmont,758,2078,148,26,9
Benicia,377,545,10,8,8
Berkeley,8825,27374,1749,515,448
Brentwood,292,315,14,2,4
Brisbane,184,232,49,6,NULL
Burlingame,1882,5236,205,74,53
Calistoga,120,201,10,NULL,2
Campbell,1308,3525,252,98,51
Cloverdale,30,42,7,1,NULL
Colma,73,239,21,9,2
Concord,505,1301,18,4,18
Corte Madera,169,168,2,NULL,NULL
Cotati,223,483,42,8,3
Cupertino,781,874,73,12,2
Daly City,1974,5824,289,70,58
Danville,221,292,15,NULL,2
Dixon,127,224,20,7,5
Dublin,54,365,2,3,NULL
East Palo Alto,72,176,5,1,2
El Cerrito,1733,3821,66,16,44
Emeryville,195,1787,5,7,14
Fairfax,384,464,37,6,3
Fairfield,863,1455,81,12,14
Fremont,1176,6264,158,27,15
Gilroy,1263,3773,171,37,26
Half Moon Bay,161,1020,3,NULL,NULL
Hayward,2030,5519,295,106,61
Healdsburg,488,818,61,21,15
Hillsborough,70,125,3,1,NULL
Lafayette,387,869,22,9,14
Larkspur,306,448,28,9,6
Livermore,278,911,63,10,9
Los Altos,576,1052,65,3,NULL
Martinez,427,857,51,13,6
Menlo Park,787,2350,129,79,79
Mill Valley,1281,1762,199,35,9
Millbrae,917,1947,107,49,43
Milpitas,305,457,21,2,9
Monte Sereno,54,56,2,NULL,NULL
Morgan Hill,208,362,38,20,8
Mountain View,1210,3330,236,89,37
Napa,1937,3995,291,73,42
Napa County,1,0,NULL,NULL,NULL
Newark,173,186,5,5,NULL
Novato,604,1495,30,10,7
Oakland,18722,46840,3572,1025,1019
Pacifica,413,889,19,4,11
Palo Alto,1198,1595,205,44,17
Petaluma,1727,3296,349,55,29
Piedmont,423,432,5,1,NULL
Pinole,56,81,2,NULL,NULL
Pittsburg,600,781,39,5,29
Pleasant Hill,578,586,17,NULL,NULL
Pleasanton,606,1590,101,19,2
Redwood City,2333,7009,325,166,120
Richmond,2658,2971,162,18,19
Rio Vista,256,195,2,NULL,NULL
Rohnert Park,1,1,NULL,NULL,NULL
Ross,76,72,1,NULL,NULL
San Anselmo,788,1259,109,12,7
San Bruno,1666,3092,173,85,76
San Carlos,1184,2264,124,29,18
San Francisco,3115,4452,152,19,3
San Jose,14181,41514,2139,696,308
San Leandro,3746,8692,605,102,65
San Mateo,2691,3545,376,99,24
San Pablo,1021,2505,39,8,21
San Rafael,774,1616,141,37,23
San Ramon,13,19,6,NULL,NULL
Santa Clara,3604,9386,639,198,101
Santa Rosa,2756,6271,511,105,68
Saratoga,55,55,NULL,NULL,NULL
Sausalito,412,811,55,23,30
Sebastopol,576,908,105,20,9
Sonoma,281,369,63,20,2
Sonoma County,2,2,NULL,NULL,NULL
South San Francisco,1468,3271,166,118,72
St. Helena,187,373,16,6,4
Suisun City,77,95,16,1,NULL
Sunnyvale,1720,10794,246,90,52
Unincorporated Alameda,1009,2385,134,27,20
Unincorporated Contra Costa,35,34,1,NULL,NULL
Unincorporated Marin,132,125,4,NULL,NULL
Unincorporated Napa,37,21,4,NULL,NULL
Unincorporated San Mateo,1132,1768,157,74,28
Unincorporated Sonoma,404,694,88,20,9
Union City,226,310,37,5,1
Vacaville,477,507,26,3,NULL
Vallejo,1569,2395,272,70,38
Walnut Creek,136,117,NULL,2,2
Windsor,200,265,23,2,NULL
