Bay_Area_Jurisdiction,Single_Family_Parcels,Total_Residential_Units,Single_Family_Parcels_2_Units,Single_Family_Parcels_3_Units,Single_Family_Parcels_4_Units
Alameda,1143,2080,282,116,56
Albany,291,484,2,1,4
American Canyon,56,13,NULL,NULL,NULL
Antioch,1,1,NULL,NULL,NULL
Atherton,9,9,1,NULL,NULL
Belmont,1270,2797,263,56,5
Benicia,70,106,3,NULL,1
Berkeley,1161,10673,84,39,62
Burlingame,2998,7134,261,91,66
Campbell,363,1268,111,63,19
Cloverdale,528,880,56,3,8
Colma,174,526,49,21,5
Concord,83,112,2,1,1
Contra Costa County,19,25,NULL,NULL,NULL
Cotati,64,166,10,NULL,2
Cupertino,390,764,52,39,25
Daly City,5333,8370,939,247,153
Danville,91,149,1,1,2
Dixon,229,419,33,19,13
Dublin,1250,6174,184,65,15
East Palo Alto,666,849,33,1,NULL
El Cerrito,430,1305,8,6,15
Emeryville,29,92,5,2,1
Fairfield,649,1915,95,24,21
Fremont,10671,28699,1003,193,65
Gilroy,740,3357,63,26,16
Hayward,747,3497,61,23,16
Hercules,81,74,NULL,NULL,NULL
Hillsborough,6,56,3,1,NULL
Lafayette,219,1057,10,13,18
Livermore,289,247,2,3,NULL
Los Altos,8,8,NULL,NULL,NULL
Martinez,362,858,53,16,12
Menlo Park,18,45,4,2,1
Millbrae,115,333,15,12,19
Milpitas,99,114,16,1,NULL
Moraga,15,156,NULL,NULL,NULL
Morgan Hill,81,211,11,5,6
Mountain View,1163,5717,245,135,89
Napa,125,149,19,5,4
Newark,26,26,2,1,NULL
Oakland,46723,92925,8892,2331,2052
Oakley,326,731,23,1,NULL
Palo Alto,26,62,1,1,1
Petaluma,172,336,49,10,3
Pinole,277,474,5,2,8
Pittsburg,3437,4087,145,21,14
Pleasant Hill,12,13,1,NULL,NULL
Pleasanton,647,1483,71,11,3
Redwood City,134,1697,1,2,1
Richmond,2144,2742,138,27,58
Rohnert Park,1,0,NULL,NULL,NULL
San Bruno,2132,4100,349,157,139
San Carlos,14,18,NULL,NULL,NULL
San Francisco,1433,1799,69,11,5
San Jose,24160,85768,4913,1521,765
San Leandro,1408,4306,320,60,46
San Mateo,2005,2773,361,81,18
San Pablo,110,840,9,1,3
San Rafael,541,991,86,29,14
San Ramon,27,621,NULL,NULL,NULL
Santa Clara,183,2859,6,2,2
Santa Rosa,7811,18156,1236,197,165
Sebastopol,962,1656,148,24,19
Sonoma County,15,11,1,1,NULL
South San Francisco,2986,5955,231,86,52
Suisun City,528,597,NULL,NULL,NULL
Sunnyvale,1295,21285,164,49,48
Unincorporated Alameda,4873,9527,670,170,95
Unincorporated Contra Costa,2000,2303,44,4,5
Unincorporated Marin,560,1134,54,2,1
Unincorporated San Mateo,1911,2452,113,12,3
Unincorporated Solano,45,704,NULL,NULL,NULL
Unincorporated Sonoma,1265,2135,165,12,3
Union City,28,36,4,2,NULL
Vacaville,43,571,3,NULL,NULL
Vallejo,39,221,1,1,NULL
Walnut Creek,227,618,4,1,3
Windsor,537,1800,79,16,4
