Bay_Area_Jurisdiction,Single_Family_Parcels,Total_Residential_Units,Single_Family_Parcels_2_Units,Single_Family_Parcels_3_Units,Single_Family_Parcels_4_Units
Alameda,3349,9549,691,291,235
Albany,1774,3005,118,22,25
Atherton,44,46,NULL,1,NULL
Belmont,578,1764,108,21,6
Berkeley,8230,25870,1644,488,423
Burlingame,1836,5160,200,74,51
Campbell,706,2383,161,60,26
Colma,73,239,21,9,2
Concord,222,269,8,NULL,3
Cotati,11,14,4,NULL,NULL
Cupertino,542,616,56,7,2
Daly City,1949,5758,289,70,53
Dublin,54,365,2,3,NULL
El Cerrito,1648,3736,62,16,44
Emeryville,195,1787,5,7,14
Fairfield,96,343,21,4,10
Fremont,625,2293,110,15,13
Gilroy,664,2549,124,27,22
Hayward,829,2604,159,83,44
Hillsborough,70,125,3,1,NULL
Lafayette,231,713,15,9,14
Livermore,237,677,57,10,9
Los Altos,85,531,16,NULL,NULL
Martinez,316,688,36,11,5
Menlo Park,726,2178,124,74,78
Millbrae,917,1947,107,49,43
Morgan Hill,166,305,32,15,6
Mountain View,1106,3188,226,87,36
Oakland,18148,45679,3490,1004,996
Palo Alto,957,1249,153,34,14
Petaluma,362,705,87,17,6
Piedmont,78,78,1,NULL,NULL
Pittsburg,111,155,6,1,NULL
Pleasanton,139,877,17,5,1
Redwood City,1235,4485,193,110,89
Richmond,1584,1832,122,8,12
Rohnert Park,1,1,NULL,NULL,NULL
San Bruno,1650,3076,173,85,76
San Carlos,916,1952,101,26,17
San Francisco,3115,4452,152,19,3
San Jose,9590,32232,1557,537,246
San Leandro,2882,7318,557,100,64
San Mateo,2180,2922,337,82,20
San Pablo,711,2122,34,6,15
San Rafael,246,485,31,12,6
Santa Clara,2876,8038,518,155,81
Santa Rosa,520,1626,89,18,14
Sausalito,312,546,39,14,20
South San Francisco,890,2222,83,59,33
Sunnyvale,1565,10569,230,86,52
Unincorporated Alameda,440,909,75,15,14
Unincorporated San Mateo,952,1568,151,74,26
Unincorporated Sonoma,46,66,13,2,NULL
Union City,226,310,37,5,1
Vallejo,55,199,12,3,1
Walnut Creek,65,57,NULL,NULL,2
Windsor,122,177,20,2,NULL
