Field Name,Alias,Source,Description,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
county,,ArcGIS Pro select and calculate functions,Modified FIP (Federal Information Processing) code for county where proposed stop or station is located. Values are county IDs used by TomTom.,CA001 - Alameda County; CA013 - Contra Costa County; CA041 - Marin County; CA055 - Napa County; CA075 - San Francsico; CA081 - San Mateo County; CA085 - Santa Clara County; CA095 - Solano County; CA097 - Sonoma County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jurisdictn,Jurisdiction,ArcGIS Pro spatial join function,Name of jurisdiction where proposed transit stop or station is located.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agency_nm,Transit Agency Name,All_Potential_Stations_Blueprint_3232020 from Blueprint_Stations_2.gdb,Name of agency responsible for serving proposed transit stop or station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stop_name,Stop or Station Name,All_Potential_Stations_Blueprint_3232020 from Blueprint_Stations_2.gdb.,Name of the proposed transit station or stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
route_ty_t,Route Type Text,All_Potential_Stations_Blueprint_3232020 from Blueprint_Stations_2.gdb,Text type of transportation used on a route. Route type may be null if location is a transit station or transit center.,"Allowed values:
Tram, Streetcar, Light rail; Subway, Metro;  Rail; Bus; Ferry; Cable tram; Aerial lift; Funicular; Trolleybus; Monorail ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppa_id,Project or Plan ID,MTC Project Performance Assessment: List of Transportation Projects,MTC assigned project identification number for proposed transit stop or station. Used in Project Performance Assessment. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppa_name,Project or Plan Name,MTC Project Performance Assessment: List of Transportation Projects,Name of potential transit stop or station used by MTC. Used in Project Performance Assessment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
