MTC_CLASS_TITLE,EMP_TOTAL
"Agriculture, Foerestry, Fishing & Hunting",39270
"Resource Extraction, Manufacturing, Construction & Utilities",799448
"Wholesale & Retail Trade, Transportation & Warehousing",1182676
"Professional Services, Information, Management & Administration",1285261
Education & Healthcare,1089695
"Accomodation & Food Services, Recreation & Entertainment",618039
Public Administration & Other Services,737304
