PM_ID,County,Agency,Project,Project_Type,In_Previous_RTIP_RHNA_Map,TIP_ID,Project_Limits_To,Project_Limits_From,RTP_ID,Found?,Source,Coordinates,Notes
d2844180-e05e-11e7-a0eb-a540cf6a9d72,Napa,County of Napa,Silverado Trail Repaving Phase L,Corridor Project,No,,"38.344505, -122.282891","38.369910, -122.301021",,,PM,,Draw Corridor
3bcc5010-e05f-11e7-a0eb-a540cf6a9d72,San Mateo,SM C/CAG,ITS Imps. in Daly City,Standalone Project,Yes,,,,,,PM,,USE CITY CENTER POINT
5d4c0eb0-e05f-11e7-a0eb-a540cf6a9d72,San Mateo,SM C/CAG,ITS Imps. in Colma,Standalone Project,Yes,,,,,,PM,,USE CITY CENTER POINT
745fa670-e05f-11e7-a0eb-a540cf6a9d72,San Mateo,SM C/CAG,ITS Imps. in Brisbane,Standalone Project,Yes,,,,,,PM,,USE CITY CENTER POINT
cb262880-e05f-11e7-a0eb-a540cf6a9d72,Santa Clara,San Jose,West San Carlos Urban Village Streetscape - Construction,Corridor Project,Yes,,"37.323294, -121.940254","37.323935, -121.904287",,,PM,,Draw Corridor
2ade3f60-e060-11e7-a0eb-a540cf6a9d72,Santa Clara,VTA,I-280/Bird Ave Soundwall,Standalone Project,Yes,,,,,,PM,"37.322398, -121.898284",Draw Coordinates
7493b950-e060-11e7-a0eb-a540cf6a9d72,Solano,Solano TA,SR 37 Project/Mare Island Interchange Project,Standalone Project,No,,,,,,PM,"38.117527, -122.288900",Draw Coordinates
,Contra Costa,BART,Walnut Creek BART TOD Intermodal Project,Standalone Transit Project,No,CC-110082,,,,Not Mapped,,,
,Napa,American Cyn,Devlin Road and Vine Trail Extension,Corridor Project,Yes,NAP130006,,,,yes,,,
,Napa,Calistoga,"Petrified Forest Rd and SR-128, Intersection Improvements",Standalone Project,No,NAP150001,,,,Not Mapped,,,
,Napa,Yountville,Hopper Creek Pedestrian Path (Oak Cir - Mission),Standalone Project,No,NAP130008,,,,yes,,,
,San Francisco,SFMTA,2020 Restoration of SFMTA Light Rail Lines,,No,,,,,,,,DO NOT SHOW
,San Francisco,SFMTA,2021 Restoration of SFMTA Light Rail Lines,,No,,,,,,,,DO NOT SHOW
,San Mateo,Caltrans,Countywide ITS Imps. - San Mateo County Smart Corridor Ð SSF Expansion,,No,SM-070002,,,,,,,DO NOT SHOW
,Santa Clara,VTA,I-680 Soundwall from Capitol to Mueller,Standalone Project,No,SCL150001,,,,yes,,,
,Solano,Solano TA,SR 12/Church Rd,Standalone Project,No,SOL150003,,,,Not Mapped ,,,
,San Mateo,SM C/CAG,US 101 Managed Lane Project,Corridor Project,Yes,SM-150017,,,17-06-0007,yes,RTP,,USE RTP ID
