,name,label,concept,predicateType,group,limit,predicateOnly,hasGeoCollectionSupport,attributes,required
206,P2_002N, !!Total:!!Hispanic or Latino,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",int,P2,0,,,P2_002NA,
216,P2_003N, !!Total:!!Not Hispanic or Latino:,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",int,P2,0,,,P2_003NA,
223,P2_004N, !!Total:!!Not Hispanic or Latino:!!Population of one race:,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",int,P2,0,,,P2_004NA,
229,P2_005N, !!Total:!!Not Hispanic or Latino:!!Population of one race:!!White alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",int,P2,0,,,P2_005NA,
237,P2_010N, !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Some Other Race alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",int,P2,0,,,P2_010NA,
245,P2_011N, !!Total:!!Not Hispanic or Latino:!!Population of two or more races:,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",int,P2,0,,,P2_011NA,
258,P2_001N, !!Total:,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",int,P2,0,,,P2_001NA,
290,P2_006N, !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Black or African American alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",int,P2,0,,,P2_006NA,
302,P2_007N, !!Total:!!Not Hispanic or Latino:!!Population of one race:!!American Indian and Alaska Native alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",int,P2,0,,,P2_007NA,
316,P2_008N, !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Asian alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",int,P2,0,,,P2_008NA,
328,P2_009N, !!Total:!!Not Hispanic or Latino:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE",int,P2,0,,,P2_009NA,
