Year,County,City,30Yr HH Growth,Year Expected to Reach 2040 Plan Target
2016,Alameda County,Alameda             ,5006,2062
2016,Alameda County,Albany              ,453,2059
2016,Alameda County,Berkeley            ,9343,2052
2016,Alameda County,Dublin              ,11561,2025
2016,Alameda County,Emeryville          ,13192,2305
2016,Alameda County,Fremont             ,19156,2063
2016,Alameda County,Hayward             ,8968,2037
2016,Alameda County,Livermore           ,10541,2041
2016,Alameda County,Newark              ,1084,2024
2016,Alameda County,Oakland             ,87675,2210
2016,Alameda County,Piedmont            ,50,2032
2016,Alameda County,Pleasanton          ,5330,2038
2016,Alameda County,San Leandro         ,6543,8470
2016,Alameda County,Union City          ,2397,2079
2016,Alameda County,Alameda County Unincorporated,7755,2090
2016,Contra Costa County,Antioch             ,8028,2202
2016,Contra Costa County,Brentwood           ,9584,2031
2016,Contra Costa County,Clayton             ,97,never
2016,Contra Costa County,Concord             ,20094,2380
2016,Contra Costa County,Danville            ,600,2045
2016,Contra Costa County,El Cerrito          ,1964,2331
2016,Contra Costa County,Hercules            ,1541,2026
2016,Contra Costa County,Lafayette           ,749,2032
2016,Contra Costa County,Martinez            ,1028,2034
2016,Contra Costa County,Moraga              ,350,2084
2016,Contra Costa County,Oakley,5678,2041
2016,Contra Costa County,Orinda              ,274,2020
2016,Contra Costa County,Pinole              ,516,never
2016,Contra Costa County,Pittsburg           ,7001,2030
2016,Contra Costa County,Pleasant Hill       ,599,2213
2016,Contra Costa County,Richmond            ,18817,2171
2016,Contra Costa County,San Pablo           ,1046,never
2016,Contra Costa County,San Ramon           ,5001,2024
2016,Contra Costa County,Walnut Creek        ,7094,2068
2016,Contra Costa County,Contra Costa County Unincorporated,9964,2053
2016,Marin County,Belvedere           ,61,never
2016,Marin County,Corte Madera        ,490,never
2016,Marin County,Fairfax             ,321,2123
2016,Marin County,Larkspur            ,510,2075
2016,Marin County,Mill Valley         ,299,2050
2016,Marin County,Novato              ,917,2110
2016,Marin County,Ross                ,43,never
2016,Marin County,San Anselmo         ,272,never
2016,Marin County,San Rafael          ,2802,2119
2016,Marin County,Sausalito           ,258,2060
2016,Marin County,Tiburon             ,170,2099
2016,Marin County,Marin County Unincorporated,2233,2083
2016,Napa County,American Canyon     ,643,2025
2016,Napa County,Calistoga           ,88,2035
2016,Napa County,Napa                ,2419,2037
2016,Napa County,St Helena           ,295,2087
2016,Napa County,Yountville          ,54,2023
2016,Napa County,Napa County Unincorporated,2254,2137
2016,San Francisco County,San Francisco       ,137840,2041
2016,San Mateo County,Atherton            ,132,2032
2016,San Mateo County,Belmont             ,1046,2352
2016,San Mateo County,Brisbane            ,4591,2768
2016,San Mateo County,Burlingame          ,1373,never
2016,San Mateo County,Colma               ,529,never
2016,San Mateo County,Daly City           ,4686,2089
2016,San Mateo County,East Palo Alto      ,1737,2088
2016,San Mateo County,Foster City         ,3094,2054
2016,San Mateo County,Half Moon Bay       ,434,2025
2016,San Mateo County,Hillsborough        ,218,2020
2016,San Mateo County,Menlo Park          ,5334,2023
2016,San Mateo County,Millbrae            ,1733,3502
2016,San Mateo County,Pacifica            ,552,never
2016,San Mateo County,Portola Valley      ,52,never
2016,San Mateo County,Redwood City        ,10126,2880
2016,San Mateo County,San Bruno           ,3232,2247
2016,San Mateo County,San Carlos          ,2460,2237
2016,San Mateo County,San Mateo           ,12595,2095
2016,San Mateo County,South San Francisco ,4365,2540
2016,San Mateo County,Woodside            ,149,2044
2016,San Mateo County,San Mateo County Unincorporated,1732,2061
2016,Santa Clara County,Campbell            ,2599,2061
2016,Santa Clara County,Cupertino           ,2773,2245
2016,Santa Clara County,Gilroy              ,5428,2029
2016,Santa Clara County,Los Altos           ,973,2027
2016,Santa Clara County,Los Altos Hills     ,191,2023
2016,Santa Clara County,Los Gatos           ,688,2029
2016,Santa Clara County,Milpitas            ,11246,2133
2016,Santa Clara County,Monte Sereno        ,109,2031
2016,Santa Clara County,Morgan Hill         ,3460,2026
2016,Santa Clara County,Mountain View       ,26373,2086
2016,Santa Clara County,Palo Alto           ,6447,2044
2016,Santa Clara County,San Jose            ,146946,2064
2016,Santa Clara County,Santa Clara         ,13988,2181
2016,Santa Clara County,Saratoga            ,229,2027
2016,Santa Clara County,Sunnyvale           ,30787,2119
2016,Santa Clara County,Santa Clara County Unincorporated,4381,2107
2016,Solano County,Benicia             ,1178,3169
2016,Solano County,Dixon               ,1417,2037
2016,Solano County,Fairfield           ,5719,2024
2016,Solano County,Rio Vista           ,2848,2030
2016,Solano County,Suisun City         ,1092,2066
2016,Solano County,Vacaville           ,2494,2020
2016,Solano County,Vallejo             ,6304,2138
2016,Solano County,Solano County Unincorporated,6551,2377
2016,Sonoma County,Cloverdale          ,1671,2068
2016,Sonoma County,Cotati              ,1162,2306
2016,Sonoma County,Healdsburg          ,235,2027
2016,Sonoma County,Petaluma            ,2753,2033
2016,Sonoma County,Rohnert Park        ,5220,2263
2016,Sonoma County,Santa Rosa          ,16445,2064
2016,Sonoma County,Sebastopol          ,564,2195
2016,Sonoma County,Sonoma              ,313,2032
2016,Sonoma County,Windsor             ,1806,2111
2016,Sonoma County,Sonoma County Unincorporated,3069,2041
