,state,county,tract,C17002_001E,C17002_008E,POP_BELOW200,TENURE_TOT,TENURE_OWN,TENURE_RENT,B25003A_001E,B25003A_002E,B25003A_003E,B25003B_001E,B25003B_002E,B25003B_003E,B25003C_001E,B25003C_002E,B25003C_003E,B25003D_001E,B25003D_002E,B25003D_003E,B25003E_001E,B25003E_002E,B25003E_003E,B25003F_001E,B25003F_002E,B25003F_003E,B25003G_001E,B25003G_002E,B25003G_003E,B25003H_001E,B25003H_002E,B25003H_003E,B25003I_001E,B25003I_002E,B25003I_003E
1,6,1,400100,3011,2744,267,1292,1164,128,983,864,119,44,44,0,0,0,0,210,210,0,0,0,0,9,0,9,46,46,0,956,837,119,35,35,0
2,6,1,400200,1952,1739,213,813,531,282,707,471,236,4,0,4,4,4,0,71,36,35,0,0,0,0,0,0,27,20,7,648,423,225,72,61,11
3,6,1,400300,5153,4384,769,2439,1136,1303,1788,986,802,280,0,280,0,0,0,254,95,159,8,8,0,36,0,36,73,47,26,1632,951,681,209,35,174
4,6,1,400400,4158,3366,792,1798,708,1090,1267,546,721,165,74,91,12,12,0,247,76,171,0,0,0,18,0,18,89,0,89,1183,486,697,138,72,66
5,6,1,400500,3733,2955,778,1643,609,1034,1018,359,659,449,232,217,0,0,0,61,8,53,0,0,0,48,0,48,67,10,57,959,352,607,88,7,81
6,6,1,400600,1656,1213,443,713,319,394,375,186,189,218,81,137,5,0,5,43,24,19,0,0,0,9,4,5,63,24,39,362,183,179,45,9,36
7,6,1,400700,4552,2604,1948,1787,644,1143,728,308,420,830,271,559,30,6,24,34,27,7,0,0,0,82,0,82,83,32,51,604,290,314,228,18,210
8,6,1,400800,3457,2186,1271,1580,572,1008,769,342,427,522,126,396,7,0,7,198,57,141,0,0,0,43,22,21,41,25,16,730,342,388,100,31,69
9,6,1,400900,2228,1540,688,1025,305,720,430,185,245,360,78,282,4,4,0,95,16,79,0,0,0,84,22,62,52,0,52,364,179,185,113,20,93
10,6,1,401000,6184,3609,2575,2619,793,1826,938,321,617,1038,292,746,9,9,0,96,30,66,52,38,14,243,45,198,243,58,185,857,314,543,447,83,364
11,6,1,401100,4138,2866,1272,2032,532,1500,1475,298,1177,344,181,163,0,0,0,122,53,69,0,0,0,29,0,29,62,0,62,1347,260,1087,189,38,151
12,6,1,401200,2593,2067,526,1231,437,794,832,304,528,217,65,152,10,0,10,66,49,17,0,0,0,42,0,42,64,19,45,794,288,506,108,25,83
13,6,1,401300,3668,1735,1933,1705,229,1476,585,115,470,597,46,551,10,0,10,318,34,284,0,0,0,48,16,32,147,18,129,517,96,421,180,35,145
14,6,1,401400,4057,1307,2750,1544,227,1317,417,67,350,735,116,619,34,6,28,119,29,90,27,0,27,145,0,145,67,9,58,267,57,210,318,19,299
15,6,1,401500,2605,1373,1232,1023,368,655,351,169,182,509,141,368,4,2,2,66,36,30,10,0,10,24,0,24,59,20,39,301,150,151,90,21,69
16,6,1,401600,2173,1044,1129,781,170,611,333,64,269,238,37,201,11,0,11,92,53,39,11,0,11,39,0,39,57,16,41,282,64,218,115,4,111
17,6,1,401700,2664,1700,964,1231,605,626,577,334,243,312,119,193,0,0,0,166,79,87,0,0,0,141,44,97,35,29,6,456,261,195,270,117,153
18,6,1,401800,1866,746,1120,731,168,563,269,82,187,348,68,280,0,0,0,24,6,18,0,0,0,34,6,28,56,6,50,231,80,151,85,14,71
19,6,1,402200,2396,971,1425,838,299,539,306,130,176,326,114,212,3,3,0,111,27,84,11,0,11,39,15,24,42,10,32,241,118,123,121,27,94
20,6,1,402400,2754,1464,1290,1151,193,958,245,41,204,649,139,510,15,0,15,202,9,193,0,0,0,36,0,36,4,4,0,190,41,149,109,11,98
21,6,1,402500,1833,638,1195,704,102,602,92,25,67,500,73,427,0,0,0,43,0,43,0,0,0,30,0,30,39,4,35,60,4,56,91,25,66
22,6,1,402600,1272,439,833,654,101,553,136,39,97,207,20,187,2,0,2,297,42,255,0,0,0,4,0,4,8,0,8,102,39,63,38,0,38
23,6,1,402700,1724,901,823,680,81,599,183,32,151,347,30,317,8,0,8,44,5,39,0,0,0,44,0,44,54,14,40,133,20,113,137,12,125
24,6,1,402800,3798,1598,2200,2295,130,2165,561,51,510,1029,40,989,36,0,36,501,26,475,0,0,0,27,0,27,141,13,128,484,51,433,198,7,191
25,6,1,402900,1298,668,630,853,5,848,257,0,257,216,0,216,6,0,6,288,5,283,0,0,0,18,0,18,68,0,68,227,0,227,59,0,59
26,6,1,403000,3167,1182,1985,1611,350,1261,122,20,102,69,0,69,11,11,0,1340,303,1037,34,0,34,8,0,8,27,16,11,122,20,102,0,0,0
27,6,1,403100,1416,781,635,712,196,516,225,64,161,89,17,72,9,0,9,378,115,263,0,0,0,7,0,7,4,0,4,225,64,161,7,0,7
28,6,1,403300,4159,2300,1859,2158,486,1672,717,199,518,221,75,146,19,0,19,1019,178,841,0,0,0,98,0,98,84,34,50,605,185,420,210,14,196
29,6,1,403400,4337,2923,1414,2746,276,2470,1281,197,1084,575,3,572,32,7,25,598,56,542,0,0,0,105,0,105,155,13,142,1184,187,997,212,10,202
