,state,county,tract,C17002_001E,C17002_008E,POP_BELOW200,TENURE_TOT,TENURE_OWN,TENURE_RENT,B25003A_001E,B25003A_002E,B25003A_003E,B25003B_001E,B25003B_002E,B25003B_003E,B25003C_001E,B25003C_002E,B25003C_003E,B25003D_001E,B25003D_002E,B25003D_003E,B25003E_001E,B25003E_002E,B25003E_003E,B25003F_001E,B25003F_002E,B25003F_003E,B25003G_001E,B25003G_002E,B25003G_003E,B25003H_001E,B25003H_002E,B25003H_003E,B25003I_001E,B25003I_002E,B25003I_003E
30,6,1,403501,4359,2360,1999,2583,328,2255,899,176,723,748,65,683,58,8,50,678,79,599,0,0,0,41,0,41,159,0,159,828,153,675,197,23,174
31,6,1,403502,2081,1573,508,1170,267,903,658,141,517,267,32,235,0,0,0,148,68,80,0,0,0,51,8,43,46,18,28,633,141,492,83,8,75
32,6,1,403600,4641,3268,1373,2530,390,2140,1242,230,1012,753,67,686,19,0,19,239,83,156,0,0,0,27,0,27,250,10,240,1176,193,983,164,37,127
33,6,1,403701,2716,2043,673,1683,211,1472,1169,144,1025,232,25,207,0,0,0,176,34,142,0,0,0,41,8,33,65,0,65,1079,118,961,114,34,80
34,6,1,403702,2027,1566,461,1123,276,847,768,227,541,106,9,97,0,0,0,134,0,134,29,10,19,39,0,39,47,30,17,714,227,487,110,0,110
35,6,1,403800,3323,2949,374,1808,587,1221,1325,408,917,111,38,73,0,0,0,257,125,132,0,0,0,32,0,32,83,16,67,1191,383,808,193,32,161
36,6,1,403900,3938,3031,907,2244,772,1472,1545,555,990,336,108,228,0,0,0,284,98,186,0,0,0,51,0,51,28,11,17,1495,555,940,98,16,82
37,6,1,404000,2932,2398,534,1650,489,1161,1135,357,778,109,38,71,5,5,0,164,46,118,18,0,18,131,0,131,88,43,45,1068,336,732,240,38,202
38,6,1,404101,3183,2696,487,1679,661,1018,1214,457,757,98,67,31,3,3,0,230,61,169,0,0,0,14,0,14,120,73,47,1157,450,707,74,15,59
39,6,1,404102,2307,1915,392,1515,254,1261,1128,199,929,79,9,70,12,0,12,181,20,161,19,0,19,25,18,7,71,8,63,1107,199,908,125,18,107
40,6,1,404200,3469,3240,229,1285,1002,283,1009,810,199,149,112,37,0,0,0,100,61,39,0,0,0,0,0,0,27,19,8,972,783,189,37,27,10
41,6,1,404300,3329,3078,251,1252,1024,228,940,776,164,85,54,31,0,0,0,127,117,10,24,24,0,53,53,0,23,0,23,918,776,142,96,53,43
42,6,1,404400,5386,4970,416,2317,1979,338,1753,1489,264,110,88,22,0,0,0,410,377,33,0,0,0,0,0,0,44,25,19,1656,1423,233,112,81,31
43,6,1,404501,1820,1731,89,679,585,94,527,463,64,28,19,9,0,0,0,95,79,16,0,0,0,7,7,0,22,17,5,489,439,50,45,31,14
44,6,1,404502,5403,5274,129,2339,2057,282,1749,1605,144,123,123,0,0,0,0,376,262,114,0,0,0,0,0,0,91,67,24,1640,1496,144,109,109,0
45,6,1,404600,4340,4037,303,1761,1621,140,1416,1320,96,97,97,0,8,8,0,202,158,44,19,19,0,0,0,0,19,19,0,1363,1276,87,61,52,9
46,6,1,404700,2166,2042,124,795,721,74,644,595,49,64,64,0,0,0,0,78,53,25,0,0,0,0,0,0,9,9,0,618,575,43,30,24,6
47,6,1,404800,2784,1995,789,1243,600,643,652,437,215,241,39,202,14,3,11,207,97,110,17,17,0,7,7,0,105,0,105,622,430,192,42,10,32
48,6,1,404900,3995,3387,608,1945,1196,749,1150,750,400,287,132,155,5,5,0,292,201,91,28,19,9,73,43,30,110,46,64,1094,733,361,194,91,103
49,6,1,405000,3240,2783,457,1476,923,553,1021,681,340,183,111,72,4,0,4,202,83,119,0,0,0,24,24,0,42,24,18,978,658,320,106,47,59
50,6,1,405100,4265,4188,77,1565,1415,150,1157,1016,141,222,222,0,0,0,0,127,118,9,0,0,0,20,20,0,39,39,0,1126,985,141,59,59,0
51,6,1,405200,5099,3983,1116,2391,624,1767,1099,268,831,468,33,435,45,11,34,533,255,278,8,0,8,95,0,95,143,57,86,944,236,708,320,41,279
52,6,1,405301,2899,2313,586,1517,168,1349,830,66,764,387,6,381,5,0,5,185,63,122,7,7,0,22,0,22,81,26,55,769,66,703,98,0,98
53,6,1,405302,2616,1458,1158,1488,62,1426,626,18,608,255,0,255,6,0,6,420,44,376,0,0,0,89,0,89,92,0,92,546,0,546,176,18,158
54,6,1,405401,4062,1740,2322,1655,207,1448,414,34,380,403,8,395,7,0,7,513,146,367,0,0,0,221,0,221,97,19,78,316,16,300,305,18,287
55,6,1,405402,3155,1082,2073,1155,131,1024,237,24,213,400,27,373,22,0,22,384,77,307,45,0,45,44,3,41,23,0,23,178,24,154,135,3,132
56,6,1,405500,4104,2389,1715,1615,304,1311,471,86,385,377,85,292,10,0,10,577,107,470,0,0,0,69,14,55,111,12,99,393,86,307,200,14,186
57,6,1,405600,3148,2203,945,1411,463,948,663,256,407,307,51,256,3,3,0,287,143,144,0,0,0,68,0,68,83,10,73,458,180,278,283,76,207
58,6,1,405700,3647,1638,2009,1372,330,1042,289,43,246,592,103,489,7,0,7,286,118,168,0,0,0,158,66,92,40,0,40,184,31,153,240,64,176
59,6,1,405800,4207,2137,2070,1320,477,843,239,106,133,411,134,277,13,0,13,511,183,328,12,0,12,80,8,72,54,46,8,138,75,63,229,71,158
60,6,1,405901,4293,1415,2878,1057,342,715,185,54,131,225,105,120,55,24,31,403,133,270,0,0,0,189,26,163,0,0,0,42,0,42,362,99,263
61,6,1,405902,3161,1317,1844,916,238,678,163,30,133,145,40,105,10,0,10,409,130,279,29,0,29,142,38,104,18,0,18,69,20,49,245,48,197
62,6,1,406000,3447,1292,2155,1448,159,1289,428,41,387,235,26,209,5,0,5,657,92,565,0,0,0,99,0,99,24,0,24,409,41,368,118,0,118
63,6,1,406100,4810,2663,2147,1496,463,1033,634,153,481,186,25,161,33,0,33,276,134,142,9,9,0,319,130,189,39,12,27,395,79,316,617,204,413
64,6,1,406201,4190,1756,2434,1352,261,1091,406,74,332,299,52,247,14,8,6,274,77,197,42,21,21,227,22,205,90,7,83,157,41,116,521,55,466
65,6,1,406202,4479,1521,2958,1305,142,1163,629,113,516,146,0,146,70,0,70,129,18,111,0,0,0,235,11,224,96,0,96,119,68,51,841,56,785
66,6,1,406300,4148,2034,2114,1203,429,774,274,101,173,220,82,138,3,0,3,457,207,250,0,0,0,170,32,138,79,7,72,117,77,40,397,63,334
67,6,1,406400,2104,1324,780,716,280,436,282,120,162,221,76,145,8,8,0,151,53,98,0,0,0,21,5,16,33,18,15,252,120,132,72,26,46
68,6,1,406500,6456,2947,3509,2018,588,1430,466,163,303,640,76,564,22,0,22,424,251,173,12,12,0,377,77,300,77,9,68,201,105,96,706,135,571
69,6,1,406601,4835,2875,1960,1679,794,885,428,301,127,625,118,507,3,3,0,347,272,75,5,0,5,137,38,99,134,62,72,291,240,51,293,118,175
70,6,1,406602,2767,1390,1377,959,297,662,271,104,167,291,40,251,24,0,24,279,129,150,7,0,7,69,12,57,18,12,6,181,98,83,196,24,172
71,6,1,406700,4947,3905,1042,2130,1301,829,1322,926,396,289,99,190,5,5,0,407,237,170,0,0,0,33,17,16,74,17,57,1204,869,335,168,91,77
72,6,1,406800,3477,2784,693,1368,919,449,744,600,144,198,45,153,16,7,9,307,203,104,0,0,0,62,29,33,41,35,6,692,565,127,131,75,56
73,6,1,406900,3970,2935,1035,1528,771,757,813,532,281,346,36,310,0,0,0,204,175,29,21,0,21,48,17,31,96,11,85,699,479,220,151,59,92
74,6,1,407000,5772,2573,3199,1953,869,1084,634,289,345,390,100,290,22,15,7,495,321,174,0,0,0,309,110,199,103,34,69,443,254,189,500,145,355
75,6,1,407101,3538,1927,1611,1020,359,661,381,139,242,154,11,143,11,0,11,279,166,113,0,0,0,158,43,115,37,0,37,157,89,68,372,93,279
76,6,1,407102,4279,2734,1545,1288,611,677,423,210,213,361,97,264,7,7,0,269,184,85,28,8,20,142,72,70,58,33,25,146,100,46,435,189,246
77,6,1,407200,6556,2399,4157,1801,375,1426,752,118,634,252,15,237,38,21,17,264,113,151,19,19,0,437,78,359,39,11,28,208,25,183,1051,191,860
78,6,1,407300,2472,1074,1398,744,214,530,353,85,268,129,55,74,0,0,0,84,24,60,6,6,0,132,31,101,40,13,27,204,19,185,302,110,192
79,6,1,407400,4452,1968,2484,1147,321,826,258,52,206,285,59,226,0,0,0,154,106,48,0,0,0,404,87,317,46,17,29,76,8,68,634,140,494
80,6,1,407500,4139,1186,2953,1279,355,924,226,72,154,656,192,464,9,0,9,48,27,21,0,0,0,305,64,241,35,0,35,60,30,30,471,106,365
81,6,1,407600,6381,3714,2667,2186,1190,996,543,381,162,1026,425,601,0,0,0,209,121,88,25,25,0,213,157,56,170,81,89,387,294,93,427,302,125
82,6,1,407700,4271,3054,1217,1646,1141,505,649,533,116,806,439,367,0,0,0,73,73,0,0,0,0,62,40,22,56,56,0,572,456,116,149,114,35
83,6,1,407800,1869,1453,416,759,506,253,268,211,57,344,212,132,0,0,0,77,52,25,0,0,0,28,12,16,42,19,23,242,189,53,66,34,32
84,6,1,407900,3072,2629,443,1113,845,268,637,499,138,229,145,84,0,0,0,151,151,0,0,0,0,38,10,28,58,40,18,573,435,138,111,73,38
85,6,1,408000,2296,2102,194,970,833,137,618,536,82,146,105,41,5,0,5,163,154,9,0,0,0,14,14,0,24,24,0,591,519,72,44,34,10
86,6,1,408100,6266,5555,711,2662,2172,490,1224,1112,112,693,420,273,34,34,0,467,449,18,0,0,0,70,38,32,174,119,55,1125,1031,94,231,137,94
87,6,1,408200,4140,2582,1558,1703,698,1005,492,308,184,940,231,709,33,17,16,74,49,25,17,17,0,78,30,48,69,46,23,396,243,153,214,103,111
88,6,1,408300,4918,3449,1469,1762,1102,660,574,466,108,843,433,410,0,0,0,103,56,47,8,8,0,155,70,85,79,69,10,558,455,103,157,67,90
89,6,1,408400,3120,1030,2090,1086,420,666,309,182,127,557,183,374,16,0,16,0,0,0,6,0,6,170,55,115,28,0,28,172,106,66,312,131,181
90,6,1,408500,5729,2534,3195,1617,519,1098,150,42,108,803,286,517,17,0,17,24,16,8,21,0,21,571,151,420,31,24,7,28,28,0,710,185,525
91,6,1,408600,6287,1897,4390,1811,691,1120,427,169,258,834,291,543,37,12,25,42,39,3,0,0,0,403,150,253,68,30,38,142,73,69,720,258,462
92,6,1,408700,7708,3398,4310,2325,782,1543,496,234,262,1285,374,911,0,0,0,63,44,19,0,0,0,322,66,256,159,64,95,131,98,33,813,258,555
93,6,1,408800,6296,1966,4330,1950,343,1607,267,74,193,879,147,732,15,0,15,152,16,136,57,0,57,481,106,375,99,0,99,50,0,50,731,180,551
94,6,1,408900,3090,862,2228,944,280,664,233,66,167,409,111,298,3,3,0,37,27,10,0,0,0,247,67,180,15,6,9,29,11,18,466,128,338
95,6,1,409000,3698,1840,1858,1038,505,533,210,94,116,463,276,187,29,29,0,42,42,0,5,0,5,250,49,201,39,15,24,37,26,11,460,146,314
96,6,1,409100,2414,1119,1295,634,394,240,81,57,24,371,198,173,0,0,0,26,23,3,17,17,0,108,95,13,31,4,27,7,7,0,211,150,61
97,6,1,409200,3567,1870,1697,923,460,463,144,42,102,429,255,174,34,18,16,38,12,26,0,0,0,237,101,136,41,32,9,56,16,40,352,149,203
98,6,1,409300,4977,1979,2998,1553,677,876,381,182,199,586,278,308,7,0,7,27,27,0,0,0,0,475,179,296,77,11,66,122,38,84,776,331,445
99,6,1,409400,4855,1794,3061,1230,458,772,300,124,176,399,152,247,0,0,0,112,51,61,0,0,0,399,111,288,20,20,0,103,41,62,610,208,402
100,6,1,409500,4321,1425,2896,1117,309,808,231,84,147,513,171,342,7,0,7,12,0,12,0,0,0,324,54,270,30,0,30,58,19,39,530,127,403
101,6,1,409600,4838,1640,3198,1382,491,891,243,83,160,618,268,350,0,0,0,51,33,18,0,0,0,447,97,350,23,10,13,27,0,27,657,180,477
102,6,1,409700,5467,2472,2995,1524,552,972,316,152,164,791,265,526,4,0,4,72,36,36,15,0,15,296,99,197,30,0,30,52,13,39,580,238,342
103,6,1,409800,3206,2239,967,1255,651,604,185,93,92,805,458,347,0,0,0,85,55,30,0,0,0,93,25,68,87,20,67,176,93,83,77,35,42
104,6,1,409900,3391,2867,524,1383,1201,182,464,402,62,689,598,91,0,0,0,102,90,12,0,0,0,49,32,17,79,79,0,408,352,56,105,82,23
105,6,1,410000,3179,2783,396,1197,1128,69,540,527,13,498,465,33,0,0,0,64,54,10,0,0,0,2,2,0,93,80,13,505,492,13,37,37,0
106,6,1,410100,2715,1640,1075,992,565,427,218,151,67,650,332,318,0,0,0,34,23,11,0,0,0,20,20,0,70,39,31,129,85,44,138,99,39
107,6,1,410200,3352,2020,1332,1146,491,655,269,88,181,615,203,412,0,0,0,46,46,0,12,12,0,186,124,62,18,18,0,152,58,94,313,164,149
108,6,1,410300,3534,1701,1833,946,324,622,169,64,105,395,181,214,14,7,7,15,15,0,22,9,13,288,48,240,43,0,43,17,9,8,460,103,357
109,6,1,410400,4479,3138,1341,1397,881,516,347,221,126,717,432,285,0,0,0,140,107,33,0,0,0,160,88,72,33,33,0,110,76,34,401,237,164
110,6,1,410500,2303,839,1464,961,86,875,81,20,61,686,38,648,0,0,0,127,14,113,15,0,15,35,7,28,17,7,10,70,20,50,53,0,53
111,6,1,420100,2432,2139,293,870,564,306,629,404,225,19,6,13,0,0,0,157,124,33,0,0,0,35,12,23,30,18,12,614,404,210,39,0,39
112,6,1,420200,3319,2659,660,1240,519,721,775,331,444,87,56,31,5,0,5,302,123,179,11,0,11,40,9,31,20,0,20,768,331,437,47,9,38
113,6,1,420300,4657,4038,619,1955,961,994,1030,539,491,98,63,35,0,0,0,645,319,326,75,0,75,84,17,67,23,23,0,1015,524,491,99,32,67
114,6,1,420400,3288,1774,1514,1177,0,1177,521,0,521,45,0,45,42,0,42,417,0,417,19,0,19,80,0,80,53,0,53,384,0,384,280,0,280
115,6,1,420500,2463,1980,483,934,454,480,581,281,300,36,13,23,5,5,0,203,111,92,0,0,0,44,0,44,65,44,21,546,263,283,61,22,39
116,6,1,420600,3161,2984,177,1219,936,283,932,744,188,29,29,0,8,0,8,162,132,30,0,0,0,53,31,22,35,0,35,901,728,173,123,57,66
117,6,1,421100,2123,2007,116,860,793,67,745,692,53,0,0,0,0,0,0,99,91,8,0,0,0,11,5,6,5,5,0,730,677,53,15,15,0
118,6,1,421200,3629,3361,268,1521,1309,212,1296,1143,153,7,7,0,10,10,0,144,106,38,0,0,0,9,9,0,55,34,21,1242,1115,127,63,37,26
119,6,1,421300,3922,3526,396,1638,1240,398,1392,1082,310,30,30,0,0,0,0,162,92,70,0,0,0,9,9,0,45,27,18,1376,1066,310,25,16,9
120,6,1,421400,1690,1528,162,650,547,103,549,456,93,25,25,0,3,3,0,57,47,10,0,0,0,6,6,0,10,10,0,528,440,88,27,22,5
121,6,1,421500,3799,3642,157,1579,1309,270,1442,1185,257,19,19,0,0,0,0,85,85,0,0,0,0,6,6,0,27,14,13,1412,1166,246,50,26,24
122,6,1,421600,3510,3032,478,1583,1203,380,1253,970,283,40,30,10,0,0,0,238,170,68,9,0,9,10,0,10,33,33,0,1213,950,263,69,29,40
123,6,1,421700,3611,2795,816,1605,608,997,1214,497,717,0,0,0,6,0,6,237,81,156,0,0,0,54,0,54,94,30,64,1160,479,681,117,18,99
124,6,1,421800,2122,1829,293,938,638,300,770,541,229,11,11,0,4,4,0,142,82,60,0,0,0,0,0,0,11,0,11,743,519,224,27,22,5
125,6,1,421900,3864,3238,626,1711,1130,581,1220,808,412,97,88,9,19,19,0,226,128,98,12,12,0,53,20,33,84,55,29,1188,785,403,84,42,42
126,6,1,422000,2051,1235,816,884,182,702,593,128,465,190,9,181,0,0,0,56,41,15,0,0,0,19,0,19,26,4,22,566,123,443,63,5,58
127,6,1,422100,2605,1874,731,1142,619,523,731,381,350,194,137,57,10,0,10,108,57,51,0,0,0,46,20,26,53,24,29,672,346,326,115,55,60
128,6,1,422200,3560,2624,936,1613,656,957,1075,465,610,163,82,81,0,0,0,227,89,138,20,20,0,78,0,78,50,0,50,963,416,547,165,49,116
129,6,1,422300,3853,2507,1346,1753,538,1215,1345,474,871,91,11,80,0,0,0,235,35,200,0,0,0,23,0,23,59,18,41,1248,434,814,130,40,90
130,6,1,422400,4185,2623,1562,2123,257,1866,1357,229,1128,56,0,56,0,0,0,565,14,551,0,0,0,40,0,40,105,14,91,1255,229,1026,142,0,142
131,6,1,422500,3173,1844,1329,1454,283,1171,948,247,701,7,7,0,3,0,3,411,21,390,0,0,0,26,0,26,59,8,51,881,214,667,100,33,67
132,6,1,422600,87,87,0,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0
133,6,1,422700,2598,840,1758,1019,141,878,641,141,500,0,0,0,0,0,0,285,0,285,0,0,0,36,0,36,57,0,57,613,141,472,89,0,89
134,6,1,422800,2979,805,2174,1389,33,1356,650,33,617,41,0,41,27,0,27,603,0,603,0,0,0,19,0,19,49,0,49,597,33,564,72,0,72
135,6,1,422900,4869,1640,3229,1958,45,1913,830,26,804,279,19,260,0,0,0,734,0,734,0,0,0,15,0,15,100,0,100,817,26,791,44,0,44
136,6,1,423000,4341,3409,932,1953,849,1104,1374,588,786,67,21,46,31,10,21,366,194,172,0,0,0,50,0,50,65,36,29,1272,566,706,182,22,160
137,6,1,423100,4266,3056,1210,2011,694,1317,1118,463,655,348,85,263,5,0,5,333,75,258,0,0,0,61,8,53,146,63,83,1071,452,619,146,57,89
138,6,1,423200,2919,1618,1301,1130,360,770,553,256,297,283,37,246,13,5,8,63,54,9,51,0,51,71,0,71,96,8,88,489,256,233,167,0,167
139,6,1,423300,4123,3062,1061,1665,867,798,854,472,382,603,278,325,9,0,9,157,99,58,0,0,0,26,10,16,16,8,8,760,402,358,167,80,87
140,6,1,423400,5242,3420,1822,2084,992,1092,1061,549,512,405,199,206,0,0,0,242,111,131,0,0,0,111,72,39,265,61,204,934,492,442,303,129,174
141,6,1,423500,3134,1826,1308,1473,413,1060,926,289,637,151,49,102,27,0,27,235,45,190,0,0,0,23,8,15,111,22,89,838,264,574,157,33,124
142,6,1,423601,2716,1964,752,1170,520,650,927,420,507,19,9,10,0,0,0,122,30,92,0,0,0,46,41,5,56,20,36,891,384,507,82,64,18
143,6,1,423602,5355,1904,3451,2262,299,1963,1314,211,1103,57,0,57,33,0,33,683,73,610,36,0,36,24,0,24,115,15,100,1175,211,964,151,0,151
144,6,1,423700,3249,1793,1456,1359,584,775,1034,523,511,39,0,39,16,0,16,210,61,149,0,0,0,28,0,28,32,0,32,1009,505,504,41,18,23
145,6,1,423800,3067,2876,191,1289,1008,281,1163,892,271,0,0,0,0,0,0,122,112,10,0,0,0,4,4,0,0,0,0,1077,864,213,90,32,58
146,6,1,423901,1935,1519,416,859,328,531,565,218,347,153,69,84,0,0,0,54,25,29,0,0,0,48,7,41,39,9,30,518,213,305,106,12,94
147,6,1,423902,1534,1293,241,726,231,495,612,201,411,5,5,0,6,6,0,66,5,61,0,0,0,22,0,22,15,14,1,565,196,369,62,15,47
148,6,1,424001,4242,2413,1829,1543,431,1112,701,242,459,563,113,450,0,0,0,84,15,69,0,0,0,133,23,110,62,38,24,661,226,435,180,39,141
149,6,1,424002,2433,1810,623,958,428,530,422,188,234,355,152,203,7,0,7,70,31,39,0,0,0,56,47,9,48,10,38,369,169,200,126,76,50
150,6,1,425101,1610,1196,414,1161,564,597,677,407,270,103,41,62,6,0,6,293,98,195,8,8,0,0,0,0,74,10,64,659,407,252,28,0,28
151,6,1,425102,3080,2420,660,1798,577,1221,802,212,590,147,9,138,4,4,0,682,279,403,17,0,17,17,8,9,129,65,64,766,182,584,127,74,53
152,6,1,425103,3060,2561,499,1380,529,851,715,301,414,119,8,111,27,27,0,387,160,227,0,0,0,39,28,11,93,5,88,664,293,371,124,63,61
153,6,1,425104,3351,2427,924,1924,620,1304,823,322,501,518,98,420,30,9,21,297,158,139,0,0,0,61,0,61,195,33,162,714,277,437,289,94,195
154,6,1,426100,6271,5849,422,2216,2034,182,1816,1661,155,18,18,0,0,0,0,349,335,14,0,0,0,13,0,13,20,20,0,1796,1641,155,33,20,13
155,6,1,426200,4891,4415,476,1709,1443,266,1370,1143,227,0,0,0,0,0,0,293,283,10,0,0,0,11,0,11,35,17,18,1296,1090,206,91,53,38
156,6,1,427100,3406,3064,342,1401,1039,362,1215,904,311,22,0,22,0,0,0,153,135,18,2,0,2,9,0,9,0,0,0,1160,872,288,64,32,32
157,6,1,427200,4076,2993,1083,1663,670,993,971,520,451,129,4,125,35,35,0,244,70,174,24,17,7,153,24,129,107,0,107,834,485,349,353,87,266
158,6,1,427300,5418,3976,1442,1936,962,974,991,547,444,131,43,88,14,4,10,648,319,329,10,10,0,66,0,66,76,39,37,868,493,375,209,64,145
159,6,1,427600,5757,2852,2905,1838,295,1543,599,143,456,439,14,425,0,0,0,618,125,493,33,13,20,24,0,24,125,0,125,511,143,368,138,0,138
160,6,1,427700,5093,4038,1055,2284,810,1474,1537,573,964,135,11,124,0,0,0,351,179,172,13,0,13,157,47,110,91,0,91,1495,573,922,199,47,152
161,6,1,427800,4808,4262,546,2009,819,1190,1383,684,699,58,0,58,18,0,18,323,74,249,9,0,9,75,32,43,143,29,114,1216,582,634,280,134,146
162,6,1,427900,5166,4496,670,2211,687,1524,1264,546,718,335,0,335,9,9,0,338,85,253,0,0,0,108,0,108,157,47,110,1104,527,577,350,35,315
163,6,1,428000,3022,2260,762,1390,217,1173,759,175,584,127,0,127,0,0,0,412,42,370,0,0,0,47,0,47,45,0,45,599,164,435,231,11,220
164,6,1,428100,4837,4145,692,1943,1029,914,1451,797,654,37,9,28,5,5,0,293,134,159,19,19,0,78,48,30,60,17,43,1366,746,620,164,83,81
165,6,1,428200,6328,5478,850,2708,1540,1168,1808,1199,609,259,15,244,0,0,0,505,298,207,0,0,0,93,28,65,43,0,43,1661,1101,560,258,126,132
166,6,1,428301,6960,6522,438,2509,1943,566,1044,798,246,63,38,25,11,11,0,1257,1013,244,0,0,0,49,49,0,85,34,51,984,763,221,92,67,25
167,6,1,428302,7154,6625,529,2662,2078,584,1512,1123,389,76,58,18,0,0,0,954,777,177,10,10,0,17,17,0,93,93,0,1431,1072,359,98,68,30
168,6,1,428400,4099,3107,992,1852,492,1360,1235,378,857,70,0,70,22,0,22,430,86,344,19,19,0,37,4,33,39,5,34,1068,338,730,222,40,182
169,6,1,428500,3076,2308,768,1428,504,924,789,332,457,46,0,46,0,0,0,426,172,254,0,0,0,73,0,73,94,0,94,760,332,428,111,0,111
