"","state","county","tract","B25064_001E","B19013_001E","B25003_001E","B25003_002E","B25003_003E","B25003A_001E","B25003A_002E","B25003A_003E","B25003B_001E","B25003B_002E","B25003B_003E","B25003C_001E","B25003C_002E","B25003C_003E","B25003D_001E","B25003D_002E","B25003D_003E","B25003E_001E","B25003E_002E","B25003E_003E","B25003F_001E","B25003F_002E","B25003F_003E","B25003G_001E","B25003G_002E","B25003G_003E","B25003H_001E","B25003H_002E","B25003H_003E","B25003I_001E","B25003I_002E","B25003I_003E"
"38","06","001","404101",1523,86635,1679,661,1018,1214,457,757,98,67,31,3,3,0,230,61,169,0,0,0,14,0,14,120,73,47,1157,450,707,74,15,59
"39","06","001","404102",1279,77303,1515,254,1261,1128,199,929,79,9,70,12,0,12,181,20,161,19,0,19,25,18,7,71,8,63,1107,199,908,125,18,107
"40","06","001","404200",2263,169519,1285,1002,283,1009,810,199,149,112,37,0,0,0,100,61,39,0,0,0,0,0,0,27,19,8,972,783,189,37,27,10
"41","06","001","404300",1773,193523,1252,1024,228,940,776,164,85,54,31,0,0,0,127,117,10,24,24,0,53,53,0,23,0,23,918,776,142,96,53,43
"42","06","001","404400",2280,150074,2317,1979,338,1753,1489,264,110,88,22,0,0,0,410,377,33,0,0,0,0,0,0,44,25,19,1656,1423,233,112,81,31
"43","06","001","404501",1804,181484,679,585,94,527,463,64,28,19,9,0,0,0,95,79,16,0,0,0,7,7,0,22,17,5,489,439,50,45,31,14
"44","06","001","404502",2262,133068,2339,2057,282,1749,1605,144,123,123,0,0,0,0,376,262,114,0,0,0,0,0,0,91,67,24,1640,1496,144,109,109,0
"45","06","001","404600",2750,163322,1761,1621,140,1416,1320,96,97,97,0,8,8,0,202,158,44,19,19,0,0,0,0,19,19,0,1363,1276,87,61,52,9
"46","06","001","404700",2409,159107,795,721,74,644,595,49,64,64,0,0,0,0,78,53,25,0,0,0,0,0,0,9,9,0,618,575,43,30,24,6
"47","06","001","404800",1105,61875,1243,600,643,652,437,215,241,39,202,14,3,11,207,97,110,17,17,0,7,7,0,105,0,105,622,430,192,42,10,32
"48","06","001","404900",1112,84375,1945,1196,749,1150,750,400,287,132,155,5,5,0,292,201,91,28,19,9,73,43,30,110,46,64,1094,733,361,194,91,103
"49","06","001","405000",1522,122237,1476,923,553,1021,681,340,183,111,72,4,0,4,202,83,119,0,0,0,24,24,0,42,24,18,978,658,320,106,47,59
"50","06","001","405100",1428,182153,1565,1415,150,1157,1016,141,222,222,0,0,0,0,127,118,9,0,0,0,20,20,0,39,39,0,1126,985,141,59,59,0
"51","06","001","405200",1368,75417,2391,624,1767,1099,268,831,468,33,435,45,11,34,533,255,278,8,0,8,95,0,95,143,57,86,944,236,708,320,41,279
"52","06","001","405301",1278,60928,1517,168,1349,830,66,764,387,6,381,5,0,5,185,63,122,7,7,0,22,0,22,81,26,55,769,66,703,98,0,98
"53","06","001","405302",950,35638,1488,62,1426,626,18,608,255,0,255,6,0,6,420,44,376,0,0,0,89,0,89,92,0,92,546,0,546,176,18,158
"54","06","001","405401",993,39712,1655,207,1448,414,34,380,403,8,395,7,0,7,513,146,367,0,0,0,221,0,221,97,19,78,316,16,300,305,18,287
"55","06","001","405402",1138,33555,1155,131,1024,237,24,213,400,27,373,22,0,22,384,77,307,45,0,45,44,3,41,23,0,23,178,24,154,135,3,132
"56","06","001","405500",1128,50225,1615,304,1311,471,86,385,377,85,292,10,0,10,577,107,470,0,0,0,69,14,55,111,12,99,393,86,307,200,14,186
"57","06","001","405600",1185,53063,1411,463,948,663,256,407,307,51,256,3,3,0,287,143,144,0,0,0,68,0,68,83,10,73,458,180,278,283,76,207
"58","06","001","405700",1044,48851,1372,330,1042,289,43,246,592,103,489,7,0,7,286,118,168,0,0,0,158,66,92,40,0,40,184,31,153,240,64,176
"59","06","001","405800",1179,44375,1320,477,843,239,106,133,411,134,277,13,0,13,511,183,328,12,0,12,80,8,72,54,46,8,138,75,63,229,71,158
"60","06","001","405901",928,31607,1057,342,715,185,54,131,225,105,120,55,24,31,403,133,270,0,0,0,189,26,163,0,0,0,42,0,42,362,99,263
"61","06","001","405902",968,32833,916,238,678,163,30,133,145,40,105,10,0,10,409,130,279,29,0,29,142,38,104,18,0,18,69,20,49,245,48,197
"62","06","001","406000",745,30909,1448,159,1289,428,41,387,235,26,209,5,0,5,657,92,565,0,0,0,99,0,99,24,0,24,409,41,368,118,0,118
"63","06","001","406100",1343,44485,1496,463,1033,634,153,481,186,25,161,33,0,33,276,134,142,9,9,0,319,130,189,39,12,27,395,79,316,617,204,413
"64","06","001","406201",997,37336,1352,261,1091,406,74,332,299,52,247,14,8,6,274,77,197,42,21,21,227,22,205,90,7,83,157,41,116,521,55,466
"65","06","001","406202",987,33583,1305,142,1163,629,113,516,146,0,146,70,0,70,129,18,111,0,0,0,235,11,224,96,0,96,119,68,51,841,56,785
"66","06","001","406300",1062,43307,1203,429,774,274,101,173,220,82,138,3,0,3,457,207,250,0,0,0,170,32,138,79,7,72,117,77,40,397,63,334
"67","06","001","406400",1370,59500,716,280,436,282,120,162,221,76,145,8,8,0,151,53,98,0,0,0,21,5,16,33,18,15,252,120,132,72,26,46
"68","06","001","406500",1152,41346,2018,588,1430,466,163,303,640,76,564,22,0,22,424,251,173,12,12,0,377,77,300,77,9,68,201,105,96,706,135,571
"69","06","001","406601",1361,48467,1679,794,885,428,301,127,625,118,507,3,3,0,347,272,75,5,0,5,137,38,99,134,62,72,291,240,51,293,118,175
"70","06","001","406602",1085,53162,959,297,662,271,104,167,291,40,251,24,0,24,279,129,150,7,0,7,69,12,57,18,12,6,181,98,83,196,24,172
"71","06","001","406700",1334,73167,2130,1301,829,1322,926,396,289,99,190,5,5,0,407,237,170,0,0,0,33,17,16,74,17,57,1204,869,335,168,91,77
"72","06","001","406800",1386,94167,1368,919,449,744,600,144,198,45,153,16,7,9,307,203,104,0,0,0,62,29,33,41,35,6,692,565,127,131,75,56
"73","06","001","406900",1410,65556,1528,771,757,813,532,281,346,36,310,0,0,0,204,175,29,21,0,21,48,17,31,96,11,85,699,479,220,151,59,92
"74","06","001","407000",1259,43125,1953,869,1084,634,289,345,390,100,290,22,15,7,495,321,174,0,0,0,309,110,199,103,34,69,443,254,189,500,145,355
"75","06","001","407101",1024,51691,1020,359,661,381,139,242,154,11,143,11,0,11,279,166,113,0,0,0,158,43,115,37,0,37,157,89,68,372,93,279
"76","06","001","407102",1130,47660,1288,611,677,423,210,213,361,97,264,7,7,0,269,184,85,28,8,20,142,72,70,58,33,25,146,100,46,435,189,246
"77","06","001","407200",1013,37319,1801,375,1426,752,118,634,252,15,237,38,21,17,264,113,151,19,19,0,437,78,359,39,11,28,208,25,183,1051,191,860
"78","06","001","407300",1503,53214,744,214,530,353,85,268,129,55,74,0,0,0,84,24,60,6,6,0,132,31,101,40,13,27,204,19,185,302,110,192
"79","06","001","407400",1064,47656,1147,321,826,258,52,206,285,59,226,0,0,0,154,106,48,0,0,0,404,87,317,46,17,29,76,8,68,634,140,494
"80","06","001","407500",949,24869,1279,355,924,226,72,154,656,192,464,9,0,9,48,27,21,0,0,0,305,64,241,35,0,35,60,30,30,471,106,365
"81","06","001","407600",952,53300,2186,1190,996,543,381,162,1026,425,601,0,0,0,209,121,88,25,25,0,213,157,56,170,81,89,387,294,93,427,302,125
