"","state","county","tract","B25064_001E"
"1","06","001","400100",2001
"2","06","001","400200",1497
"3","06","001","400300",1058
"4","06","001","400400",1423
"5","06","001","400500",1024
"6","06","001","400600",1025
"7","06","001","400700",1247
"8","06","001","400800",1122
"9","06","001","400900",1159
"10","06","001","401000",1137
"11","06","001","401100",1036
"12","06","001","401200",1291
"13","06","001","401300",928
"14","06","001","401400",888
"15","06","001","401500",754
"16","06","001","401600",1050
"17","06","001","401700",1343
"18","06","001","401800",815
"19","06","001","402200",931
"20","06","001","402400",920
"21","06","001","402500",414
"22","06","001","402600",744
"23","06","001","402700",959
"24","06","001","402800",503
"25","06","001","402900",663
"26","06","001","403000",473
"27","06","001","403100",590
"28","06","001","403300",1424
"29","06","001","403400",982
"30","06","001","403501",888
"31","06","001","403502",1114
"32","06","001","403600",1176
"33","06","001","403701",1092
"34","06","001","403702",1295
"35","06","001","403800",1290
"36","06","001","403900",1212
"37","06","001","404000",1156
"38","06","001","404101",1234
"39","06","001","404102",1008
"40","06","001","404200",1904
"41","06","001","404300",2001
"42","06","001","404400",2001
"43","06","001","404501",2001
"44","06","001","404502",2001
"45","06","001","404600",1658
"46","06","001","404700",1838
"47","06","001","404800",954
"48","06","001","404900",1147
"49","06","001","405000",1579
"50","06","001","405100",1493
"51","06","001","405200",1168
"52","06","001","405301",1131
"53","06","001","405302",807
"54","06","001","405401",943
"55","06","001","405402",919
"56","06","001","405500",1094
"57","06","001","405600",998
"58","06","001","405700",944
"59","06","001","405800",971
"60","06","001","405901",963
"61","06","001","405902",1021
"62","06","001","406000",943
"63","06","001","406100",957
"64","06","001","406201",928
"65","06","001","406202",936
"66","06","001","406300",887
"67","06","001","406400",883
"68","06","001","406500",975
"69","06","001","406601",1070
"70","06","001","406602",939
"71","06","001","406700",1053
"72","06","001","406800",1175
"73","06","001","406900",1134
"74","06","001","407000",1037
"75","06","001","407101",918
"76","06","001","407102",918
"77","06","001","407200",913
"78","06","001","407300",1329
"79","06","001","407400",919
"80","06","001","407500",889
"81","06","001","407600",949
"82","06","001","407700",1304
"83","06","001","407800",1742
"84","06","001","407900",1597
"85","06","001","408000",2001
"86","06","001","408100",1519
"87","06","001","408200",993
"88","06","001","408300",1275
"89","06","001","408400",1239
"90","06","001","408500",1083
"91","06","001","408600",941
"92","06","001","408700",1099
"93","06","001","408800",866
"94","06","001","408900",1032
"95","06","001","409000",1269
"96","06","001","409100",1117
"97","06","001","409200",1178
"98","06","001","409300",1039
"99","06","001","409400",1024
"100","06","001","409500",1035
"101","06","001","409600",1316
"102","06","001","409700",1042
"103","06","001","409800",913
"104","06","001","409900",1480
"105","06","001","410000",1375
"106","06","001","410100",1181
"107","06","001","410200",1030
"108","06","001","410300",1090
"109","06","001","410400",1241
"110","06","001","410500",411
"111","06","001","420100",1817
"112","06","001","420200",1338
"113","06","001","420300",1466
"114","06","001","420400",1648
"115","06","001","420500",1330
"116","06","001","420600",1631
"117","06","001","421100",2001
"118","06","001","421200",1330
"119","06","001","421300",1555
"120","06","001","421400",2001
"121","06","001","421500",1681
"122","06","001","421600",1167
"123","06","001","421700",1538
"124","06","001","421800",1384
"125","06","001","421900",1471
"126","06","001","422000",686
"127","06","001","422100",974
"128","06","001","422200",1047
"129","06","001","422300",1334
"130","06","001","422400",1329
"131","06","001","422500",1272
"132","06","001","422600",-666666666
"133","06","001","422700",1314
"134","06","001","422800",1106
"135","06","001","422900",1166
"136","06","001","423000",1243
"137","06","001","423100",992
"138","06","001","423200",1172
"139","06","001","423300",1009
"140","06","001","423400",1078
"141","06","001","423500",1134
"142","06","001","423601",1227
"143","06","001","423602",1413
"144","06","001","423700",1107
"145","06","001","423800",1486
"146","06","001","423901",952
"147","06","001","423902",1262
"148","06","001","424001",1159
"149","06","001","424002",1007
"150","06","001","425101",1408
"151","06","001","425102",1868
"152","06","001","425103",1680
"153","06","001","425104",1248
"154","06","001","426100",2001
"155","06","001","426200",1939
"156","06","001","427100",1307
"157","06","001","427200",1279
"158","06","001","427300",1122
"159","06","001","427600",1263
"160","06","001","427700",1316
"161","06","001","427800",1122
"162","06","001","427900",1202
"163","06","001","428000",1104
"164","06","001","428100",1335
"165","06","001","428200",1558
"166","06","001","428301",2001
"167","06","001","428302",2001
"168","06","001","428400",1185
"169","06","001","428500",1455
"170","06","001","428600",1423
"171","06","001","428700",643
"172","06","001","430101",2001
"173","06","001","430102",979
"174","06","001","430200",2001
"175","06","001","430300",1326
"176","06","001","430400",891
"177","06","001","430500",1294
"178","06","001","430600",1699
