NAICS_SECTOR,SECTOR_TITLE,MTC_CLASS,MTC_CLASS_TITLE
11,"Agriculture, Forestry, Fishing and Hunting",1,"Agriculture, Foerestry, Fishing & Hunting"
21,"Mining, Quarrying, and Oil and Gas Extraction",2,"Resource Extraction, Manufacturing, Construction & Utilities"
22,Utilities,2,"Resource Extraction, Manufacturing, Construction & Utilities"
23,Construction,2,"Resource Extraction, Manufacturing, Construction & Utilities"
31,Manufacturing,2,"Resource Extraction, Manufacturing, Construction & Utilities"
32,Manufacturing,2,"Resource Extraction, Manufacturing, Construction & Utilities"
33,Manufacturing,2,"Resource Extraction, Manufacturing, Construction & Utilities"
42,Wholesale Trade,3,"Wholesale & Retail Trade, Transportation & Warehousing"
44,Retail Trade,3,"Wholesale & Retail Trade, Transportation & Warehousing"
45,Retail Trade,3,"Wholesale & Retail Trade, Transportation & Warehousing"
48,Transportation and Warehousing,3,"Wholesale & Retail Trade, Transportation & Warehousing"
49,Transportation and Warehousing,3,"Wholesale & Retail Trade, Transportation & Warehousing"
51,Information,4,"Professional Services, Information, Management & Administration"
52,Finance and Insurance,4,"Professional Services, Information, Management & Administration"
53,Real Estate and Rental and Leasing,4,"Professional Services, Information, Management & Administration"
54,"Professional, Scientific, and Technical Services",4,"Professional Services, Information, Management & Administration"
55,Management of Companies and Enterprises,4,"Professional Services, Information, Management & Administration"
56,Administrative and Support and Waste Management and Remediation Services,4,"Professional Services, Information, Management & Administration"
61,Educational Services,5,Education & Healthcare
62,Health Care and Social Assistance,5,Education & Healthcare
71,"Arts, Entertainment, and Recreation",6,"Accomodation & Food Services, Recreation & Entertainment"
72,Accommodation and Food Services,6,"Accomodation & Food Services, Recreation & Entertainment"
81,Other Services (except Public Administration),7,Public Administration & Other Services
92,Public Administration,7,Public Administration & Other Services
99,Unclassified,7,Public Administration & Other Services
