EMP_CENTER,MTC_CLASS_TITLE,EMP_TOTAL,COUNTY
1,Public Administration & Other Services,3082,Solano
1,"Resource Extraction, Manufacturing, Construction & Utilities",829,Solano
1,"Wholesale & Retail Trade, Transportation & Warehousing",1833,Solano
1,"Accomodation & Food Services, Recreation & Entertainment",2682,Sonoma
1,"Agriculture, Foerestry, Fishing & Hunting",20,Sonoma
1,Education & Healthcare,9939,Sonoma
1,"Professional Services, Information, Management & Administration",6914,Sonoma
1,Public Administration & Other Services,7013,Sonoma
1,"Resource Extraction, Manufacturing, Construction & Utilities",1765,Sonoma
1,"Wholesale & Retail Trade, Transportation & Warehousing",4998,Sonoma
1,"Accomodation & Food Services, Recreation & Entertainment",2911,Stanislaus
1,"Agriculture, Foerestry, Fishing & Hunting",67,Stanislaus
1,Education & Healthcare,9031,Stanislaus
1,"Professional Services, Information, Management & Administration",13944,Stanislaus
1,Public Administration & Other Services,7603,Stanislaus
1,"Resource Extraction, Manufacturing, Construction & Utilities",21211,Stanislaus
1,"Wholesale & Retail Trade, Transportation & Warehousing",10995,Stanislaus
1,"Accomodation & Food Services, Recreation & Entertainment",2316,Yolo
1,"Agriculture, Foerestry, Fishing & Hunting",23,Yolo
1,Education & Healthcare,21576,Yolo
1,"Professional Services, Information, Management & Administration",2149,Yolo
1,Public Administration & Other Services,3129,Yolo
1,"Resource Extraction, Manufacturing, Construction & Utilities",285,Yolo
1,"Wholesale & Retail Trade, Transportation & Warehousing",2720,Yolo
