OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAMELSAD,STCOUFP,FULLNAME,COUNAME,STNAME,STCOUNAME,Low_Response_Score,Mail_Return_Rate_CEN_2010,Tot_Population_ACS_10_14,Tot_Population_ACSMOE_10_14,Med_HHD_Inc_ACS_10_14,Med_HHD_Inc_ACSMOE_10_14,pct_Pop_under_5_ACS_10_14,pct_Pop_under_5_ACSMOE_10_14,pct_Pop_18_24_ACS_10_14,pct_Pop_18_24_ACSMOE_10_14,pct_Pop_65plus_ACS_10_14,pct_Pop_65plus_ACSMOE_10_14,pct_Prs_Blw_Pov_Lev_ACS_10_14,pct_Prs_Blw_Pov_Lev_ACSMOE_10_14,pct_Not_HS_Grad_ACS_10_14,pct_Not_HS_Grad_ACSMOE_10_14,pct_NH_Blk_alone_ACS_10_14,pct_NH_Blk_alone_ACSMOE_10_14,pct_NH_White_alone_ACS_10_14,pct_NH_White_alone_ACSMOE_10_14,pct_Hispanic_ACS_10_14,pct_Hispanic_ACSMOE_10_14,pct_NH_AIAN_alone_ACS_10_14,pct_NH_AIAN_alone_ACSMOE_10_14,pct_NH_Asian_alone_ACS_10_14,pct_NH_Asian_alone_ACSMOE_10_14,pct_NH_NHOPI_alone_ACS_10_14,pct_NH_NHOPI_alone_ACSMOE_10_14,pct_NH_SOR_alone_ACS_10_14,pct_NH_SOR_alone_ACSMOE_10_14,pct_Born_foreign_ACS_10_14,pct_Born_foreign_ACSMOE_10_14,pct_ENG_VW_ACS_10_14,pct_ENG_VW_ACSMOE_10_14,pct_Age5p_Spanish_ACS_10_14,pct_Age5p_Spanish_ACSMOE_10_14,pct_Age5p_Russian_ACS_10_14,pct_Age5p_Russian_ACSMOE_10_14,pct_Age5p_Chinese_ACS_10_14,pct_Age5p_Chinese_ACSMOE_10_14,pct_Age5p_Korean_ACS_10_14,pct_Age5p_Korean_ACSMOE_10_14,pct_Age5p_Vietnames_ACS_10_14,pct_Age5p_Vietnames_ACSMOE_10_14,pct_Age5p_Tagalog_ACS_10_14,pct_Age5p_Tagalog_ACSMOE_10_14,pct_Age5p_Arabic_ACS_10_14,pct_Age5p_Arabic_ACSMOE_10_14,Tot_Housing_Units_ACS_10_14,Tot_Housing_Units_ACSMOE_10_14,Tot_Occp_Units_ACS_10_14,Tot_Occp_Units_ACSMOE_10_14,pct_Renter_Occp_HU_ACS_10_14,pct_Renter_Occp_HU_ACSMOE_10_14,pct_Rel_Under_6_ACS_10_14,pct_Rel_Under_6_ACSMOE_10_14,pct_Diff_HU_1yr_Ago_ACS_10_14,pct_Diff_HU_1yr_Ago_ACSMOE_10_14,pct_Vacant_Units_ACS_10_14,pct_Vacant_Units_ACSMOE_10_14,pct_MLT_U10p_ACS_10_14,pct_MLT_U10p_ACSMOE_10_14
11,56,3,962600,56003962600,Census Tract 9626,56003,"Census Tract 9626, Big Horn County, WY",Big Horn County,Wyoming,"Big Horn County, Wyoming",17.9,81.4,2400,251,58101,5845,3.71,1.62,7.42,3.07,22.79,3.67,3.57,1.59,6.89,2.33,0.25,0.29,90.38,4.38,4.58,2.45,1.88,1.61,0.5,0.83,0,0.46,0,0.46,2.46,1.77,0.23,1.26,0.17,0.26,0,0.48,0,0.48,0,0.48,0,0.48,0,0.48,0,0.48,1288,52,875,77,24.91,6.5,16.49,6.62,19.76,6.51,32.07,5.84,0,0.85
12,56,3,962700,56003962700,Census Tract 9627,56003,"Census Tract 9627, Big Horn County, WY",Big Horn County,Wyoming,"Big Horn County, Wyoming",20.3,79.3,3777,237,50161,6139,6.49,1.26,9.13,1.68,19.01,2.24,14.06,4.28,15.17,4.36,0,0.29,83.51,3.4,14.24,3.49,0.64,0.5,0.19,0.24,0.37,0.34,0,0.29,6.12,2.08,3.09,2.05,4.47,2.08,0,0.31,0.08,0.14,0,0.31,0,0.31,0,0.31,0,0.31,1700,42,1457,84,26.49,5.2,21.75,5.2,10.95,3.29,14.29,4.52,1.18,1.06
13,56,3,962800,56003962800,Census Tract 9628,56003,"Census Tract 9628, Big Horn County, WY",Big Horn County,Wyoming,"Big Horn County, Wyoming",19.6,81.2,5650,270,53897,4341,7.52,0.9,7.06,1.25,17.47,1.82,11.64,3.14,9.81,2.78,0,0.28,90.71,2.68,6.83,2.08,0.8,0.76,0.64,0.51,0,0.28,0.09,0.12,0.78,0.33,1.08,1.13,1.53,1.03,0,0.31,0.04,0.06,0,0.31,0,0.31,0,0.31,0,0.31,2387,52,2031,103,23.73,4.47,25.25,4.85,11.88,3.35,14.91,4.01,1.59,1.17
14,56,5,100,56005000100,Census Tract 1,56005,"Census Tract 1, Campbell County, WY",Campbell County,Wyoming,"Campbell County, Wyoming",22.5,74.6,9232,601,89552,5618,10.23,2.3,8.35,1.96,3.22,1.19,5.02,2.29,6.93,4.07,1.81,1.71,87.81,3.23,6.35,2.82,2.25,1.74,0.57,0.59,0,0.17,0,0.17,4.69,2.08,0.8,1.07,1.13,1.19,0,0.19,0,0.19,0,0.19,0,0.19,0.24,0.34,0,0.19,3923,178,3366,233,28.46,4.81,30.02,6.94,24.26,5.18,14.2,4,15.47,4.35
15,56,5,200,56005000200,Census Tract 2,56005,"Census Tract 2, Campbell County, WY",Campbell County,Wyoming,"Campbell County, Wyoming",21,78.9,6761,535,86250,6443,8.06,2.58,9.35,2.14,4.44,2.25,2.13,1.79,6.49,2.76,0.04,0.06,91.91,2.68,5.53,1.86,0.31,0.53,0,0.24,0.24,0.37,0,0.24,0.37,0.43,0,0.66,0.03,0.08,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,2675,151,2440,207,20.78,6.36,20.83,6.21,22.01,7.26,8.79,5.59,0,0.6
16,56,5,300,56005000300,Census Tract 3,56005,"Census Tract 3, Campbell County, WY",Campbell County,Wyoming,"Campbell County, Wyoming",23.3,78.7,5789,541,67000,16276,4.42,2.72,12.99,3.8,7.19,2.12,14.68,5.57,12.59,5.31,0.88,1.24,82.07,5.64,11.11,3.33,1.28,1.05,1.4,2.05,0,0.28,0,0.28,7.64,3.4,0,0.75,0,0.29,0,0.29,0,0.29,0,0.29,0,0.29,0,0.29,0,0.29,2253,122,2136,135,30.99,7.57,12.44,7.07,16.18,6.34,5.19,4.65,8.79,4.9
17,56,5,400,56005000400,Census Tract 4,56005,"Census Tract 4, Campbell County, WY",Campbell County,Wyoming,"Campbell County, Wyoming",23.2,74.6,4264,521,68457,6861,8.23,3.17,7.36,2.59,8.07,1.65,11.19,3.8,11.13,3.58,0.14,0.23,82.32,5,15.34,8.04,0.54,0.87,1.48,1.68,0,0.26,0,0.26,6.66,3.61,0.93,1.4,3.42,2.63,0,0.28,0,0.28,0,0.28,0,0.28,0,0.28,0,0.28,2019,108,1713,147,42.79,6.77,26.36,9.55,30.69,9.98,15.16,6.69,14.61,5.54
18,56,5,500,56005000500,Census Tract 5,56005,"Census Tract 5, Campbell County, WY",Campbell County,Wyoming,"Campbell County, Wyoming",19.2,82.3,6981,440,86397,14290,10.93,2.51,7.18,2.35,4.05,1.82,5.03,4.12,4.63,3.03,0.1,0.21,90.06,2.93,7.15,4.17,1.68,1.26,0.89,1.29,0,0.23,0,0.23,4.11,3.51,0,0.67,0.23,0.34,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,2503,113,2373,159,15.17,6.11,27.09,7.37,15.54,6.61,5.19,4.51,4.08,3.99
19,56,5,600,56005000600,Census Tract 6,56005,"Census Tract 6, Campbell County, WY",Campbell County,Wyoming,"Campbell County, Wyoming",22.7,78.1,5734,608,61371,8601,7.94,3.33,13.2,4.13,9.45,2.42,4.26,2.9,14.72,6.91,0.61,0.87,87.74,4.23,10.57,6.41,0.45,0.59,0,0.28,0,0.28,0,0.28,0.63,0.76,0,0.78,0.44,0.51,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,2385,147,2051,202,35.25,9.06,25.46,11.24,17.26,5.37,14,8.51,16.31,5.66
20,56,5,700,56005000700,Census Tract 7,56005,"Census Tract 7, Campbell County, WY",Campbell County,Wyoming,"Campbell County, Wyoming",23.5,75,8687,752,73524,7316,7.1,2.92,7.28,2.11,9.38,2.15,7.9,4.16,7.95,2.3,1.17,1.08,91.98,4.02,5.07,2.35,0.14,0.22,0.35,0.46,0,0.18,0,0.18,2.31,1.63,1.05,1.7,1.78,0.83,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,3628,183,3237,222,16.56,5.44,17.61,6.23,12.82,4.84,10.78,5.54,4.22,2.39
21,56,7,967600,56007967600,Census Tract 9676,56007,"Census Tract 9676, Carbon County, WY",Carbon County,Wyoming,"Carbon County, Wyoming",24,75.2,2172,396,68313,16019,5.06,2.21,10.82,7.57,9.76,2.23,14.09,6.96,5.99,2.3,2.39,2.17,80.25,8.81,12.25,3.71,0.74,0.82,0,0.51,0.46,0.82,0,0.51,4.24,3.13,2.45,3.1,2.47,2.03,0,0.53,0,0.53,0,0.53,0,0.53,0,0.53,0,0.53,1024,61,611,74,24.39,7.98,26.22,9.13,25.56,16.05,40.33,5.34,0,1.07
22,56,7,967700,56007967700,Census Tract 9677,56007,"Census Tract 9677, Carbon County, WY",Carbon County,Wyoming,"Carbon County, Wyoming",23.8,80,4653,443,54028,6777,9.07,2.06,14.94,3.9,7.84,1.21,22.47,6.85,13.91,5.75,0.9,1.46,70.81,3.62,24.61,4.45,0.24,0.49,2.64,2.33,0,0.24,0,0.24,8.62,4.35,3.6,3.37,4.09,2.43,0,0.26,0,0.26,0,0.26,0.4,0.71,0,0.26,0,0.26,2014,166,1860,195,42.37,6.01,33.01,10.77,26.1,6.86,7.65,4.37,11.87,4.77
23,56,7,967800,56007967800,Census Tract 9678,56007,"Census Tract 9678, Carbon County, WY",Carbon County,Wyoming,"Carbon County, Wyoming",21.6,84.1,3975,392,62292,5632,6.94,2.5,6.34,2.77,15.45,1.16,7.11,4.56,14.52,4.6,1.46,1.63,70.39,2.7,27.3,5.24,0.3,0.38,0,0.28,0,0.28,0,0.28,8.65,3.16,2.46,2.32,7.06,3.17,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,2084,164,1625,192,23.02,7.46,22.01,7.33,15.87,5.73,22.02,6.09,2.4,1.91
24,56,7,968000,56007968000,Census Tract 9680,56007,"Census Tract 9680, Carbon County, WY",Carbon County,Wyoming,"Carbon County, Wyoming",19.2,78.9,3587,262,59133,9148,3.85,1.68,2.29,1.27,15.56,2.36,12.81,4.4,6.77,2.24,0,0.31,92.97,1.44,3.48,3.22,0.31,0.39,0.25,0.5,0.28,0.47,0,0.31,1.25,1.08,0,0.76,0.75,1.04,0,0.32,0,0.32,0,0.32,0,0.32,0,0.32,0,0.32,2194,118,1444,109,25.48,6.65,11.43,6.6,8.01,3.25,34.18,5.25,0.18,0.55
25,56,7,968100,56007968100,Census Tract 9681,56007,"Census Tract 9681, Carbon County, WY",Carbon County,Wyoming,"Carbon County, Wyoming",20.2,76,1408,177,40450,7628,4.19,2.06,7.53,3.57,23.37,2.89,18.54,6.63,7.88,3.27,0.99,1.7,90.84,4.14,6.46,3.31,1.28,1.91,0,0.78,0,0.78,0,0.78,1.49,1.84,0,1.77,0.15,0.22,0,0.82,0,0.82,0,0.82,0,0.82,0,0.82,0,0.82,1244,73,621,74,30.43,9.3,12.44,7.54,12.01,5.59,50.08,4.61,0,0.88
26,56,9,956400,56009956400,Census Tract 9564,56009,"Census Tract 9564, Converse County, WY",Converse County,Wyoming,"Converse County, Wyoming",19.4,79.3,4931,374,62708,8828,4.56,1.96,7.75,2.24,13.63,2.14,5.44,4.1,7.14,3.87,0.02,0.06,91.71,3.59,6.9,2.27,0.06,0.16,1.03,1.17,0.02,0.04,0,0.32,2.7,1.81,2.29,2.29,0.51,0.79,0,0.34,0,0.34,0,0.34,0,0.34,0,0.34,0,0.34,2374,153,2180,174,24.77,6.83,20.58,9.35,19.09,7.84,8.17,5.75,7.37,4.57
27,56,9,956500,56009956500,Census Tract 9565,56009,"Census Tract 9565, Converse County, WY",Converse County,Wyoming,"Converse County, Wyoming",21.6,74.1,2886,279,54535,9999,12.75,3.46,8.52,4.32,7.97,1.78,14.12,5.97,12.81,5.04,0,0.38,85.93,4.74,8.73,4.11,3.36,3.8,0.55,1.14,0,0.38,0,0.38,1.11,1.42,0.53,1.41,0.71,0.99,0,0.44,0.64,1.31,0,0.44,0,0.44,0,0.44,0,0.44,1206,88,1132,107,33.13,7.88,37.6,13.97,24.3,8.6,6.14,5.29,6.3,4.7
28,56,9,956600,56009956600,Census Tract 9566,56009,"Census Tract 9566, Converse County, WY",Converse County,Wyoming,"Converse County, Wyoming",19.2,78.3,3401,344,63750,8329,4.62,1.55,4.79,1.88,15.5,3.26,8.68,7.44,9.4,3.75,0,0.32,93.35,2.23,5.44,3.49,0.18,0.26,0,0.32,0.12,0.21,0,0.32,2.09,2.05,0.08,0.84,1.02,1.1,0,0.34,0,0.34,0,0.34,0,0.34,0,0.34,0,0.34,1655,162,1303,139,18.11,6.95,17.17,7.17,13,6.31,21.27,6.31,0.91,1.51
29,56,9,956700,56009956700,Census Tract 9567,56009,"Census Tract 9567, Converse County, WY",Converse County,Wyoming,"Converse County, Wyoming",18.4,75.7,2773,113,62404,15427,8.55,2.79,11.47,4.7,15.69,3.66,11.07,4.74,6.52,3.27,1.08,1.62,85.97,5.8,7.72,4.28,0.61,0.76,0,0.4,0,0.4,0,0.4,2.6,1.87,0.45,1.17,0.47,0.71,0,0.43,0,0.43,0,0.43,0,0.43,0,0.43,0,0.43,1214,106,1106,100,31.83,7.32,29.1,9.58,16.03,7.29,8.9,3.54,3.13,3.04
30,56,11,950200,56011950200,Census Tract 9502,56011,"Census Tract 9502, Crook County, WY",Crook County,Wyoming,"Crook County, Wyoming",19.9,79.2,4654,233,66083,6606,7.91,1.02,9,1.12,11.5,1.91,4.71,2.55,3.38,1.93,0.09,0.13,96.93,0.94,2.56,1.37,0.43,0.36,0,0.24,0,0.24,0,0.24,0.06,0.11,0,0.6,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,2289,73,1844,132,23.48,6.12,15.33,4.91,12.53,3.35,19.44,5.07,0.66,0.7
31,56,11,950300,56011950300,Census Tract 9503,56011,"Census Tract 9503, Crook County, WY",Crook County,Wyoming,"Crook County, Wyoming",16.9,85.6,2501,233,51759,6982,4.16,2,2.6,1.94,28.67,2.23,5.42,2.85,8.75,3.98,0,0.44,97.28,0.99,2.28,2.55,0,0.44,0.2,0.32,0,0.44,0,0.44,1.24,1.23,0,0.97,0.04,0.13,0,0.46,0.08,0.17,0,0.46,0,0.46,0,0.46,0,0.46,1301,73,1130,79,17.96,6.79,11.96,6.24,6.62,3,13.14,5.33,0.31,1
32,56,13,100,56013000100,Census Tract 1,56013,"Census Tract 1, Fremont County, WY",Fremont County,Wyoming,"Fremont County, Wyoming",21.1,79.1,4194,366,47708,11340,14.23,4.68,11.44,5.1,12.45,2.04,28.94,8.8,8.08,3.37,0.26,0.4,71.05,4.36,8.68,5.26,17.36,8.88,0.02,0.07,0,0.26,0,0.26,0.36,0.38,0,0.75,0,0.31,0,0.31,0,0.31,0,0.31,0,0.31,0,0.31,0,0.31,1646,115,1471,123,35.76,8.96,28.84,9.44,19.4,7.15,10.63,6.34,3.58,4.06
33,56,13,200,56013000200,Census Tract 2,56013,"Census Tract 2, Fremont County, WY",Fremont County,Wyoming,"Fremont County, Wyoming",17.3,83.3,3407,293,56278,11034,6.11,2.44,5.64,2.92,19.2,2.02,6.43,3.27,2.78,1.58,0,0.32,93.4,3.75,1.56,1.58,2.49,2.43,0.53,0.73,0,0.32,0,0.32,2.61,2.01,0,0.67,0,0.34,0,0.34,0,0.34,0,0.34,0,0.34,0,0.34,0,0.34,1709,133,1645,122,34.35,6.77,20.92,11.1,19.59,7.19,3.74,3.09,1.7,1.46
34,56,13,300,56013000300,Census Tract 3,56013,"Census Tract 3, Fremont County, WY",Fremont County,Wyoming,"Fremont County, Wyoming",19.3,80,4366,356,60313,6681,4.67,2.33,6.05,2.89,21.97,3.07,3.99,1.73,6.58,2.1,0.27,0.5,87.29,2.26,6.25,3.58,2.08,1.36,1.21,1.58,0.44,0.53,0,0.25,2.22,1.39,0,0.6,0.53,0.55,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,2318,96,1821,96,15.76,3.81,14.38,6.65,7.63,3.27,21.44,5.14,1.98,1.46
35,56,13,400,56013000400,Census Tract 4,56013,"Census Tract 4, Fremont County, WY",Fremont County,Wyoming,"Fremont County, Wyoming",18.1,82.4,1546,202,45031,7838,3.23,2.09,4.4,1.79,31.89,6.16,3.13,2.31,3.1,1.85,1.68,1.8,94.44,4.3,0.91,1.09,0.91,1.09,0,0.71,0,0.71,0,0.71,0.91,0.9,0,1.36,0.67,1,0,0.74,0,0.74,0,0.74,0,0.74,0,0.74,0,0.74,1405,67,807,99,27.63,7.17,9.03,6.44,9.54,4.71,42.56,6.97,0.93,1.57
36,56,13,940100,56013940100,Census Tract 9401,56013,"Census Tract 9401, Fremont County, WY",Fremont County,Wyoming,"Fremont County, Wyoming",,,4030,351,45882,2703,6.75,2.1,8.83,1.67,12.93,1.32,17.41,3.56,12.7,2.25,0.69,0.84,14.59,2.47,4.69,2.15,77.79,4.09,0,0.27,0,0.27,0,0.27,0.12,0.2,0.64,1.27,0,0.29,0,0.29,0,0.29,0,0.29,0,0.29,0,0.29,0,0.29,1293,96,1098,98,33.42,4.25,27.84,4.67,11.67,2.54,15.08,2.63,0,0.85
37,56,13,940201,56013940201,Census Tract 9402.01,56013,"Census Tract 9402.01, Fremont County, WY",Fremont County,Wyoming,"Fremont County, Wyoming",,,4121,258,57516,5043,5.51,1.76,5.44,2.01,13.59,2.19,8.49,3.04,8.91,1.88,0,0.27,90.22,1.85,3.66,1.98,1.97,1.5,0,0.27,0,0.27,0.07,0.12,0.32,0.34,0.33,0.92,0.33,0.31,0,0.28,0,0.28,0,0.28,0,0.28,0,0.28,0,0.28,1721,84,1529,93,13.21,3.17,15.68,4.62,12.09,4.26,11.16,2.97,0,0.64
38,56,13,940202,56013940202,Census Tract 9402.02,56013,"Census Tract 9402.02, Fremont County, WY",Fremont County,Wyoming,"Fremont County, Wyoming",,,4927,341,65980,7489,9.46,1.88,8.46,1.58,8.97,1.37,14.8,2.98,11.86,2.85,0.2,0.24,38.48,3.63,6.47,2.27,53.36,4.92,0,0.22,0,0.22,0,0.22,0.32,0.32,0,0.84,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,1545,98,1317,108,19.21,3.79,29.72,5.7,13.07,2.98,14.76,3.5,0,0.71
39,56,13,940300,56013940300,Census Tract 9403,56013,"Census Tract 9403, Fremont County, WY",Fremont County,Wyoming,"Fremont County, Wyoming",,,5510,374,40146,5647,8.4,2.23,12.78,3.36,11.22,2.12,19.92,6.04,12.44,4.24,0.8,0.96,81.4,4.76,6.37,2.93,7.35,3.76,1.91,1.83,0,0.29,0,0.29,0,0.29,0,0.76,0,0.32,0,0.32,0,0.32,0,0.32,0,0.32,0,0.32,0,0.32,2244,103,2111,106,34.01,6.36,28.43,8.74,21.25,6.39,5.93,2.88,4.5,3.16
