OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAMELSAD,STCOUFP,FULLNAME,COUNAME,STNAME,STCOUNAME,Low_Response_Score,Mail_Return_Rate_CEN_2010,Tot_Population_ACS_10_14,Tot_Population_ACSMOE_10_14,Med_HHD_Inc_ACS_10_14,Med_HHD_Inc_ACSMOE_10_14,pct_Pop_under_5_ACS_10_14,pct_Pop_under_5_ACSMOE_10_14,pct_Pop_18_24_ACS_10_14,pct_Pop_18_24_ACSMOE_10_14,pct_Pop_65plus_ACS_10_14,pct_Pop_65plus_ACSMOE_10_14,pct_Prs_Blw_Pov_Lev_ACS_10_14,pct_Prs_Blw_Pov_Lev_ACSMOE_10_14,pct_Not_HS_Grad_ACS_10_14,pct_Not_HS_Grad_ACSMOE_10_14,pct_NH_Blk_alone_ACS_10_14,pct_NH_Blk_alone_ACSMOE_10_14,pct_NH_White_alone_ACS_10_14,pct_NH_White_alone_ACSMOE_10_14,pct_Hispanic_ACS_10_14,pct_Hispanic_ACSMOE_10_14,pct_NH_AIAN_alone_ACS_10_14,pct_NH_AIAN_alone_ACSMOE_10_14,pct_NH_Asian_alone_ACS_10_14,pct_NH_Asian_alone_ACSMOE_10_14,pct_NH_NHOPI_alone_ACS_10_14,pct_NH_NHOPI_alone_ACSMOE_10_14,pct_NH_SOR_alone_ACS_10_14,pct_NH_SOR_alone_ACSMOE_10_14,pct_Born_foreign_ACS_10_14,pct_Born_foreign_ACSMOE_10_14,pct_ENG_VW_ACS_10_14,pct_ENG_VW_ACSMOE_10_14,pct_Age5p_Spanish_ACS_10_14,pct_Age5p_Spanish_ACSMOE_10_14,pct_Age5p_Russian_ACS_10_14,pct_Age5p_Russian_ACSMOE_10_14,pct_Age5p_Chinese_ACS_10_14,pct_Age5p_Chinese_ACSMOE_10_14,pct_Age5p_Korean_ACS_10_14,pct_Age5p_Korean_ACSMOE_10_14,pct_Age5p_Vietnames_ACS_10_14,pct_Age5p_Vietnames_ACSMOE_10_14,pct_Age5p_Tagalog_ACS_10_14,pct_Age5p_Tagalog_ACSMOE_10_14,pct_Age5p_Arabic_ACS_10_14,pct_Age5p_Arabic_ACSMOE_10_14,Tot_Housing_Units_ACS_10_14,Tot_Housing_Units_ACSMOE_10_14,Tot_Occp_Units_ACS_10_14,Tot_Occp_Units_ACSMOE_10_14,pct_Renter_Occp_HU_ACS_10_14,pct_Renter_Occp_HU_ACSMOE_10_14,pct_Rel_Under_6_ACS_10_14,pct_Rel_Under_6_ACSMOE_10_14,pct_Diff_HU_1yr_Ago_ACS_10_14,pct_Diff_HU_1yr_Ago_ACSMOE_10_14,pct_Vacant_Units_ACS_10_14,pct_Vacant_Units_ACSMOE_10_14,pct_MLT_U10p_ACS_10_14,pct_MLT_U10p_ACSMOE_10_14
1,56,1,962700,56001962700,Census Tract 9627,56001,"Census Tract 9627, Albany County, WY",Albany County,Wyoming,"Albany County, Wyoming",21.3,84.3,3502,331,53954,10341,6.77,3.48,13.19,5.37,14.08,2.85,18.61,6.77,7.54,3.74,0.37,0.63,86.55,6.91,8.54,4.44,2.23,1.9,1.66,2.31,0,0.31,0,0.31,2.11,2.02,0.68,1.42,0.98,1.22,0,0.34,0,0.34,0,0.34,0,0.34,0.7,0.98,0,0.34,1528,140,1333,132,22.96,7.7,22.89,9.25,15.63,6.33,12.76,5.71,0,0.72
2,56,1,962800,56001962800,Census Tract 9628,56001,"Census Tract 9628, Albany County, WY",Albany County,Wyoming,"Albany County, Wyoming",23.3,83.4,3588,431,44832,9755,10.62,4.16,14.24,4,11.2,3.12,19.93,8.98,9.11,3.85,0,0.31,88.38,5.97,8.72,3.79,0,0.31,0,0.31,0,0.31,1.34,2.34,2.06,2.13,1.26,2.15,1.15,1.27,0,0.34,0,0.34,0,0.34,0,0.34,0,0.34,0,0.34,1530,92,1347,127,40.76,8.69,35.48,14.62,32.86,11.22,11.96,6.04,15.1,7.53
3,56,1,962900,56001962900,Census Tract 9629,56001,"Census Tract 9629, Albany County, WY",Albany County,Wyoming,"Albany County, Wyoming",26.2,79.3,2075,206,41065,9364,7.81,2.33,12.92,3.69,6.84,1.86,24.85,12.33,8.79,4.61,0.05,0.1,71.28,8.34,28,6.25,0,0.53,0,0.53,0,0.53,0,0.53,3.18,2.34,3.22,3.75,2.61,1.91,0,0.58,0,0.58,0,0.58,0,0.58,0,0.58,0,0.58,1064,77,931,74,28.03,7.85,32.51,12.96,22.27,6.4,12.5,6.04,0,1.03
4,56,1,963000,56001963000,Census Tract 9630,56001,"Census Tract 9630, Albany County, WY",Albany County,Wyoming,"Albany County, Wyoming",28.1,75.3,2141,229,26882,6964,2.57,2.93,40.78,9.72,7.57,1.94,33.07,9.55,7.14,4.13,7.24,6.73,71.93,9.64,12.66,5.49,0.75,1.21,1.26,1.35,0,0.51,0,0.51,2.57,3.3,0.62,1.5,0.34,0.62,0,0.53,0,0.53,0,0.53,0,0.53,0,0.53,0,0.53,1294,86,1135,111,74.98,5.35,10.63,12.21,32.8,9.89,12.29,5.97,18.24,8.34
5,56,1,963100,56001963100,Census Tract 9631,56001,"Census Tract 9631, Albany County, WY",Albany County,Wyoming,"Albany County, Wyoming",20.9,78.4,7053,548,48723,4989,5.52,1.51,26.06,6.36,7.78,1.91,27.31,6.33,1.39,1.39,1.18,1.05,84.05,5.02,8.25,2.78,0,0.23,4.62,2.25,0,0.23,0,0.23,6.45,2.31,1.14,1.75,0.54,0.49,0,0.24,1.11,1.11,0,0.24,0,0.24,0,0.24,0,0.24,3490,132,2971,233,49.48,5.58,29.88,7.75,28.71,7.06,14.87,5.65,19.08,4.99
6,56,1,963400,56001963400,Census Tract 9634,56001,"Census Tract 9634, Albany County, WY",Albany County,Wyoming,"Albany County, Wyoming",27.1,80,3826,315,28153,4914,2.43,1.34,42.24,8.29,3.89,1.32,42.38,7.46,0.32,0.58,0,0.29,84.34,4.85,3.27,2.36,0,0.29,9.67,2.32,0.03,0.08,0,0.29,10.77,3.42,2.79,1.98,1.29,0.99,0,0.29,2.92,1.97,0,0.29,0,0.29,0,0.29,0,0.29,2041,101,1863,134,76.01,5.91,21.21,11.67,39.7,9.74,8.72,4.98,12.79,5.55
7,56,1,963500,56001963500,Census Tract 9635,56001,"Census Tract 9635, Albany County, WY",Albany County,Wyoming,"Albany County, Wyoming",35,66.7,2724,294,15804,3206,3.82,2.05,85.57,5.44,0,0.4,79.86,11.14,0,5.02,2.53,1.59,84.4,5.51,5.8,2.07,0.51,0.55,4.15,2.04,0.44,0.59,0.11,0.22,8.96,3.73,4.02,7.98,0,0.42,0,0.42,0.92,0.87,0,0.42,0,0.42,0,0.42,0.34,0.49,270,53,224,53,100,23.66,45.1,26.02,77.51,5.35,17.04,14.43,2.22,5.54
8,56,1,963600,56001963600,Census Tract 9636,56001,"Census Tract 9636, Albany County, WY",Albany County,Wyoming,"Albany County, Wyoming",21.3,80.3,4452,397,46581,12978,5.17,2.93,22.46,5.27,10.31,1.8,21.95,6.49,2.26,1.74,0.04,0.09,93.08,4.48,4.27,2.46,0.27,0.49,0.63,1.08,0,0.25,0,0.25,3.44,2.02,0.97,1.7,0.36,0.62,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,0,0.26,2337,108,2058,174,50.53,7.69,15.83,7.78,29.23,8.07,11.94,6.14,12.07,5.1
9,56,1,963700,56001963700,Census Tract 9637,56001,"Census Tract 9637, Albany County, WY",Albany County,Wyoming,"Albany County, Wyoming",22.8,78.7,5837,495,33786,14284,5.12,1.89,29.93,6.84,7.9,1.43,33.54,7.84,3.66,2.63,3.14,2.31,77.68,6.2,13.59,4.74,0,0.27,3.55,2,0,0.27,0,0.27,7.16,3.53,0.78,1.17,1.97,1.27,0,0.29,0,0.29,0,0.29,0,0.29,0.14,0.25,0,0.29,2726,133,2558,183,56.68,6.36,27.66,11.62,31.14,6.94,6.16,4.87,20.69,6.41
10,56,1,963900,56001963900,Census Tract 9639,56001,"Census Tract 9639, Albany County, WY",Albany County,Wyoming,"Albany County, Wyoming",18.2,74.1,2022,259,59939,9197,0.59,0.69,4.9,2.55,26.71,4.17,4.12,2.48,3.52,1.92,0.3,0.49,92.24,3.1,3.31,2.54,0,0.54,1.34,1.97,0,0.54,0,0.54,3.17,2.84,0,1.08,0,0.55,0,0.55,0,0.55,0,0.55,0,0.55,0,0.55,0,0.55,2093,140,1020,139,14.12,6.89,5.07,3.92,9.89,4.11,51.27,5.58,0.76,1.34
