County_Abbrev,County
ALA,Alameda
AMA,Amador
BUT,Butte
CAL,Calaveras
ELD,El Dorado
HUM,Humboldt
IMP,Imperial
INY,Inyo
KER,Kern
KIN,Kings
LAK,Lake
LAS,Lassen
MEN,Mendocino
MON,Monterey
NAP,Napa
NEV,Nevada
RIV,Riverside
SB,Santa Barbara
SBN,San Bernardino
SCR,Sacramento
SD,San Diego
SHA,Shasta
SLO,San Luis Obispo
SOL,Solano
SON,Sonoma
TEH,Tehama
TUL,Tulare
VEN,Ventura
