county,pct_low_income_2018,pct_low_income_2022,pct_poc_2018,pct_poc_2022,pct_tracts_3plus_other_2018,pct_tracts_3plus_other_2022,pct_tracts_low_income_2018,pct_tracts_low_income_2022,pct_tracts_poc_2018,pct_tracts_poc_2022,pop_low_income_2018,pop_low_income_2022,pop_poc_2018,pop_poc_2022,total_pop_poc_2018,total_pop_poc_2022,total_pop_poverty_2018,total_pop_poverty_2022
Alameda,0.229,0.194,0.682,0.707,0.266,0.227,0.335,0.317,0.504,0.509,369977,317966,1120309,1176371,1643700,1663823,1617225,1637215
Contra Costa,0.219,0.188,0.556,0.594,0.188,0.161,0.298,0.285,0.303,0.318,246448,216292,630296,690897,1133247,1162648,1123857,1153216
Marin,0.174,0.158,0.286,0.308,0.089,0.111,0.125,0.206,0.071,0.063,44229,40333,74486,80145,260295,260485,254105,255793
Napa,0.236,0.204,0.472,0.496,0.175,0.15,0.25,0.375,0.125,0.125,32363,27493,66371,68140,140530,137384,137164,134649
San Francisco,0.225,0.207,0.594,0.617,0.31,0.332,0.279,0.287,0.284,0.262,192988,173759,516374,525136,870044,851036,856426,837888
San Mateo,0.177,0.147,0.604,0.63,0.108,0.115,0.152,0.144,0.323,0.362,134732,110289,462888,475035,765935,754250,759786,748410
Santa Clara,0.19,0.156,0.68,0.708,0.11,0.137,0.202,0.191,0.468,0.502,358741,295115,1306288,1357720,1922200,1916831,1891976,1886562
Solano,0.258,0.218,0.615,0.645,0.198,0.15,0.417,0.36,0.406,0.4,110345,96131,269660,290961,438530,450995,428057,441378
Sonoma,0.252,0.205,0.365,0.391,0.15,0.164,0.27,0.336,0.03,0.033,124452,98749,183080,190995,501317,488436,494493,481716
