tract_geoid,county_fip,tot_pop_poc,tot_pop_se,tot_pop_po,tot_pop_ci,tot_pop_ov,tot_hh,tot_fam,pop_poc,pop_over75,pop_spfam,pop_lep,pop_below2,pop_disabi,pop_hus_re,pop_zvhhs,pct_poc,pct_over75,pct_spfam,pct_lep,pct_below2,pct_disab,pct_hus_re,pct_zvhhs,poc_1_2,over75_1_2,spfam_1_2,lep_1_2,disab_1_2,below2_1_2,hus_re_1_2,zvhh_1_2,epc_2050p,epc_class
06001400100,001,3324,3324,3313,3324,3203,1337,828,991,361,109,0,361,307,17,68,0.2981347773766546,0.10860409145607701,0.1316425120772947,0.0,0.10896468457591307,0.09235860409145608,0.012715033657442034,0.050860134629768135,0,1,0,0,0,0,0,0,0,NA
06001400200,001,2038,2038,2038,2038,1877,868,500,592,180,35,15,177,165,32,100,0.2904808635917566,0.08832188420019627,0.07,0.007991475759190196,0.08684985279685967,0.08096172718351324,0.03686635944700461,0.1152073732718894,0,0,0,0,0,0,0,0,0,NA
06001400300,001,5449,5449,5410,5449,5351,2548,1145,2192,425,182,15,582,554,295,365,0.40227564690768947,0.07799596256193797,0.1589519650655022,0.0028032143524574847,0.10757855822550831,0.10167003119838502,0.11577708006279434,0.14324960753532182,0,0,0,0,0,0,0,0,0,NA
06001400400,001,4384,4384,4384,4362,4090,1826,815,1477,186,133,45,638,408,113,233,0.3369069343065693,0.04242700729927007,0.16319018404907976,0.011002444987775062,0.14552919708029197,0.09353507565337002,0.061883899233296825,0.1276013143483023,0,0,1,0,0,0,0,0,0,NA
06001400500,001,4048,4048,4039,4048,3862,1673,876,2276,368,51,43,1078,214,157,181,0.5622529644268774,0.09090909090909091,0.05821917808219178,0.011134127395132056,0.2668977469670711,0.052865612648221344,0.09384339509862523,0.10818888224745965,0,0,0,0,0,1,0,0,0,NA
06001400600,001,1957,1957,1947,1957,1795,741,381,1134,38,64,9,273,176,66,60,0.5794583546244252,0.019417475728155338,0.1679790026246719,0.005013927576601671,0.14021571648690292,0.08993357179356157,0.08906882591093117,0.08097165991902834,0,0,1,0,0,0,0,0,0,NA
06001400700,001,5150,5150,5125,5150,4818,2027,934,2961,187,215,164,1390,647,239,280,0.5749514563106796,0.036310679611650486,0.23019271948608136,0.034039020340390205,0.27121951219512197,0.12563106796116505,0.11790823877651702,0.13813517513566848,0,0,1,0,1,1,0,0,0,NA
06001400800,001,4042,4042,4026,4030,3879,1799,886,2002,197,231,99,1015,362,161,193,0.49529935675408215,0.0487382483918852,0.26072234762979685,0.025522041763341066,0.2521112767014406,0.08982630272952853,0.08949416342412451,0.10728182323513062,0,0,1,0,0,0,0,0,0,NA
06001400900,001,3056,3056,3056,3056,2817,1125,636,1964,58,148,135,697,270,138,35,0.6426701570680629,0.018979057591623036,0.23270440251572327,0.04792332268370607,0.2280759162303665,0.08835078534031414,0.12266666666666666,0.03111111111111111,0,0,1,0,0,0,0,0,0,NA
06001401000,001,6185,6185,6180,6180,5923,2286,1127,4101,87,137,169,720,694,208,396,0.663055780113177,0.01406628940986257,0.12156166814551908,0.02853283808880635,0.11650485436893204,0.11229773462783171,0.09098862642169729,0.1732283464566929,0,0,0,0,0,0,0,1,0,NA
06001401100,001,5204,5204,5192,5204,4992,2428,917,2850,81,206,227,1550,441,251,483,0.5476556495003844,0.015564950038431976,0.22464558342420937,0.04547275641025641,0.2985362095531587,0.0847425057647963,0.10337726523887973,0.19892915980230644,0,0,1,0,0,1,0,1,0,NA
06001401200,001,2800,2800,2790,2790,2603,1360,627,1122,103,35,33,439,129,214,137,0.4007142857142857,0.03678571428571428,0.05582137161084529,0.012677679600461006,0.15734767025089605,0.046236559139784944,0.15735294117647058,0.10073529411764706,0,0,0,0,0,0,1,0,0,NA
06001401300,001,4074,4074,3802,3802,3923,2065,488,2453,321,91,288,1314,382,398,656,0.6021109474717722,0.07879234167893961,0.1864754098360656,0.07341320418047413,0.34560757496054706,0.10047343503419252,0.19273607748184018,0.31767554479418886,0,0,1,0,0,1,1,1,1,High
06001401400,001,5044,5044,5034,5034,4787,1640,663,3763,99,130,352,2523,736,370,239,0.7460348929421095,0.019627279936558287,0.19607843137254902,0.07353248381031961,0.50119189511323,0.1462058005562177,0.22560975609756098,0.14573170731707316,1,0,1,0,1,1,1,0,1,High
06001401500,001,3083,3083,2971,3083,2927,1148,492,2198,56,136,47,1081,418,237,311,0.7129419396691534,0.018164125851443398,0.2764227642276423,0.016057396651861976,0.36385055536856276,0.13558222510541681,0.20644599303135888,0.27090592334494773,0,0,1,0,1,1,1,1,1,Higher
06001401600,001,2419,2419,2419,2419,2341,912,389,1972,53,166,244,905,225,127,92,0.8152128978916908,0.021909880115750312,0.4267352185089974,0.10422896198205894,0.37412153782554775,0.09301364200082679,0.13925438596491227,0.10087719298245613,1,0,1,0,0,1,0,0,1,High
06001401700,001,3379,3379,3366,3364,3250,1323,574,2167,158,196,114,823,169,97,97,0.6413139982243268,0.04675939627108612,0.34146341463414637,0.035076923076923075,0.244503862150921,0.050237812128418546,0.07331821617535904,0.07331821617535904,0,0,1,0,0,0,0,0,0,NA
06001401800,001,1746,1746,1746,1746,1574,685,279,1141,38,88,56,527,178,111,199,0.6534936998854525,0.021764032073310423,0.3154121863799283,0.035578144853875476,0.3018327605956472,0.10194730813287514,0.16204379562043797,0.2905109489051095,0,0,1,0,0,1,1,1,1,High
06001402200,001,2489,2489,2442,2489,2454,916,443,1736,96,98,143,808,376,98,152,0.6974688629971876,0.038569706709521895,0.22121896162528218,0.0582722086389568,0.3308763308763309,0.15106468461229408,0.10698689956331878,0.16593886462882096,0,0,1,0,1,1,0,1,1,High
06001402400,001,2545,2545,2521,2527,2365,1196,504,2022,231,217,223,1409,411,369,482,0.7944990176817289,0.09076620825147348,0.4305555555555556,0.09429175475687103,0.5589051963506545,0.16264345073209338,0.3085284280936455,0.40301003344481606,1,0,1,0,1,1,1,1,1,Highest
06001402500,001,1940,1940,1940,1940,1824,742,418,1756,89,151,115,1035,223,119,305,0.9051546391752577,0.04587628865979381,0.361244019138756,0.06304824561403509,0.5335051546391752,0.11494845360824742,0.16037735849056603,0.4110512129380054,1,0,1,0,0,1,1,1,1,Higher
06001402600,001,1299,1299,1299,1299,1249,603,264,1192,101,70,270,709,308,116,189,0.9176289453425712,0.07775211701308699,0.26515151515151514,0.21617293835068055,0.5458044649730562,0.23710546574287913,0.19237147595356552,0.31343283582089554,1,0,1,1,1,1,1,1,1,Highest
06001402700,001,1988,1988,1988,1988,1933,724,349,1409,50,70,160,585,325,105,150,0.7087525150905433,0.025150905432595575,0.20057306590257878,0.08277289187790998,0.2942655935613682,0.16348088531187122,0.14502762430939226,0.20718232044198895,0,0,1,0,1,1,1,1,1,High
06001402801,001,3301,3301,3301,3301,3091,1786,757,2373,130,293,82,1135,498,319,685,0.7188730687670403,0.03938200545289306,0.3870541611624835,0.026528631510837918,0.34383520145410484,0.1508633747349288,0.1786114221724524,0.38353863381858905,0,0,1,0,1,1,1,1,1,Higher
06001402802,001,1251,1251,1251,1251,1240,699,125,975,168,33,30,782,422,227,454,0.7793764988009593,0.1342925659472422,0.264,0.024193548387096774,0.6250999200639489,0.33733013589128696,0.32474964234620884,0.6494992846924177,1,1,1,0,1,1,1,1,1,Highest
06001402900,001,1638,1638,1562,1638,1631,1025,214,1271,269,31,357,753,380,222,628,0.775946275946276,0.16422466422466422,0.14485981308411214,0.21888412017167383,0.4820742637644046,0.231990231990232,0.21658536585365853,0.6126829268292683,1,1,0,1,1,1,1,1,1,Highest
06001403000,001,2907,2907,2907,2907,2880,1510,645,2681,719,30,1126,1598,816,148,832,0.9222566219470244,0.2473340213278294,0.046511627906976744,0.3909722222222222,0.5497076023391813,0.2807017543859649,0.09801324503311258,0.5509933774834437,1,1,0,1,1,1,0,1,1,Highest
06001403100,001,2054,2054,1793,1793,1971,913,292,1385,67,44,261,583,157,138,355,0.6742940603700097,0.03261927945472249,0.1506849315068493,0.1324200913242009,0.32515337423312884,0.08756274400446179,0.1511500547645126,0.3888280394304491,0,0,0,1,0,1,1,1,1,High
06001403301,001,1950,1950,1950,1950,1950,783,396,1696,260,162,936,797,332,303,321,0.8697435897435898,0.13333333333333333,0.4090909090909091,0.48,0.4087179487179487,0.17025641025641025,0.38697318007662834,0.4099616858237548,1,1,1,1,1,1,1,1,1,Highest
06001403302,001,2279,2279,2279,2279,2232,1414,317,1197,0,31,52,245,58,44,222,0.5252303641948223,0.0,0.09779179810725552,0.023297491039426525,0.1075032909170689,0.025449758666081616,0.031117397454031116,0.157001414427157,0,0,0,0,0,0,0,0,0,NA
06001403401,001,2882,2882,2862,2848,2787,2062,431,1575,522,127,276,892,441,286,797,0.5464954892435808,0.18112421929215822,0.29466357308584684,0.09903121636167922,0.3116701607267645,0.15484550561797752,0.13870029097963144,0.38651794374393794,0,1,1,0,1,1,0,1,1,High
06001403402,001,1197,1197,1197,1197,1126,791,126,792,0,0,0,248,113,75,288,0.6616541353383458,0.0,0.0,0.0,0.2071846282372598,0.09440267335004177,0.09481668773704172,0.3640960809102402,0,0,0,0,0,0,0,1,0,NA
06001403501,001,4655,4655,4655,4655,4521,2592,822,2924,416,120,311,1491,706,579,756,0.628141783029001,0.08936627282491943,0.145985401459854,0.0687900906879009,0.32030075187969925,0.15166487647690655,0.22337962962962962,0.2916666666666667,0,0,0,0,1,1,1,1,1,Higher
06001403502,001,2008,2008,2008,2008,1977,1176,353,1178,128,90,100,592,179,212,214,0.5866533864541833,0.06374501992031872,0.254957507082153,0.05058168942842691,0.2948207171314741,0.08914342629482072,0.18027210884353742,0.18197278911564627,0,0,1,0,0,1,1,1,1,High
06001403600,001,5318,5318,5210,5227,4966,2863,769,3426,101,281,142,1167,537,362,353,0.6442271530650621,0.018992102294095526,0.36540962288686607,0.028594442207007652,0.22399232245681383,0.10273579491103883,0.12644079636744673,0.12329724065665386,0,0,1,0,0,0,0,0,0,NA
06001403701,001,3025,3025,2955,2955,2905,1825,465,1688,298,39,19,495,492,515,384,0.5580165289256198,0.09851239669421488,0.08387096774193549,0.006540447504302926,0.16751269035532995,0.166497461928934,0.2821917808219178,0.2104109589041096,0,0,0,0,1,0,1,1,0,NA
06001403702,001,2012,2012,1989,2012,1878,1123,358,940,100,118,38,260,151,85,195,0.4671968190854871,0.04970178926441352,0.329608938547486,0.02023429179978701,0.13071895424836602,0.07504970178926441,0.07569011576135352,0.1736420302760463,0,0,1,0,0,0,0,1,0,NA
06001403800,001,3864,3864,3864,3864,3637,1866,754,1345,223,103,7,495,253,200,166,0.3480848861283644,0.057712215320910976,0.13660477453580902,0.00192466318394281,0.1281055900621118,0.06547619047619048,0.10718113612004287,0.08896034297963558,0,0,0,0,0,0,0,0,0,NA
06001403900,001,4038,4038,4038,4038,3741,2159,956,1608,290,89,0,408,431,224,123,0.39821693907875183,0.0718177315502724,0.09309623430962342,0.0,0.10104011887072809,0.1067360079247152,0.10375173691523853,0.05697081982399259,0,0,0,0,0,0,0,0,0,NA
06001404000,001,3052,3052,3052,3052,2968,1756,636,1518,119,130,26,566,296,212,163,0.49737876802096986,0.0389908256880734,0.20440251572327045,0.00876010781671159,0.1854521625163827,0.09698558322411534,0.12072892938496584,0.0928246013667426,0,0,1,0,0,0,0,0,0,NA
06001404101,001,3082,3082,3082,3082,2989,1712,660,865,211,26,0,385,288,159,267,0.28066190785204415,0.06846203763789747,0.03939393939393939,0.0,0.12491888384166126,0.09344581440622972,0.09287383177570094,0.15595794392523366,0,0,0,0,0,0,0,0,0,NA
06001404102,001,2689,2689,2571,2571,2397,1612,392,1169,527,50,91,603,487,275,503,0.4347341018966158,0.19598363703979174,0.12755102040816327,0.03796412181894034,0.23453908984830804,0.18942045896538312,0.1705955334987593,0.31203473945409427,0,1,0,0,1,0,1,1,0,NA
06001404200,001,3929,3929,3747,3929,3666,1437,1032,1369,311,128,46,234,358,34,25,0.3484347162127768,0.07915500127258844,0.12403100775193798,0.012547735951991271,0.06244995996797438,0.09111733265461949,0.023660403618649965,0.017397355601948505,0,0,0,0,0,0,0,0,0,NA
06001404300,001,3562,3562,3562,3562,3451,1408,992,1016,224,82,0,203,174,0,38,0.2852330151600225,0.06288601909039865,0.08266129032258064,0.0,0.05699045480067378,0.04884896125772038,0.0,0.026988636363636364,0,0,0,0,0,0,0,0,0,NA
06001404400,001,5916,5916,5916,5916,5631,2420,1515,2440,491,36,100,391,326,36,72,0.41244083840432727,0.08299526707234618,0.023762376237623763,0.01775883502042266,0.06609195402298851,0.05510480054090602,0.01487603305785124,0.02975206611570248,0,0,0,0,0,0,0,0,0,NA
06001404501,001,1843,1843,1843,1843,1740,678,542,655,207,61,19,80,93,22,18,0.3553988062940857,0.112316874660879,0.11254612546125461,0.010919540229885057,0.04340748779164406,0.050461204557786216,0.032448377581120944,0.02654867256637168,0,1,0,0,0,0,0,0,0,NA
06001404502,001,6292,6292,6292,6292,5673,2537,1826,1783,505,198,197,255,245,28,31,0.28337571519389704,0.08026064844246662,0.10843373493975904,0.034725894588401196,0.0405276541640178,0.038938334392879845,0.01103665746945211,0.012219156484036263,0,0,0,0,0,0,0,0,0,NA
06001404600,001,5063,5063,5063,5063,4792,1919,1343,1996,373,159,10,423,490,78,80,0.39423266837843174,0.07367173612482718,0.11839166046165302,0.002086811352253756,0.08354730396997827,0.09678056488248074,0.04064616988014591,0.041688379364252216,0,0,0,0,0,0,0,0,0,NA
06001404700,001,2153,2153,2153,2153,2005,836,681,709,202,0,6,110,219,19,0,0.3293079424059452,0.09382257315373897,0.0,0.0029925187032418953,0.05109150023223409,0.10171853228053879,0.022727272727272728,0.0,0,0,0,0,0,0,0,0,0,NA
06001404800,001,2722,2722,2722,2722,2597,1139,592,1195,193,44,121,601,369,142,141,0.4390154298310066,0.07090374724467303,0.07432432432432433,0.04659222179437813,0.22079353416605438,0.13556208670095518,0.12467076382791922,0.1237928007023705,0,0,0,0,1,0,0,0,0,NA
06001404900,001,4461,4461,4461,4447,4197,1966,1121,1878,250,218,126,604,369,131,174,0.4209818426361802,0.05604124635731899,0.19446922390722568,0.03002144388849178,0.13539565119928268,0.08297728805936587,0.06663275686673449,0.08850457782299084,0,0,1,0,0,0,0,0,0,NA
06001405000,001,3718,3718,3718,3718,3438,1630,1038,1708,290,125,67,232,267,62,89,0.4593867670790748,0.07799892415277031,0.12042389210019268,0.019488074461896453,0.062399139322216246,0.07181280258203335,0.03803680981595092,0.05460122699386503,0,0,0,0,0,0,0,0,0,NA
06001405100,001,4479,4479,4479,4479,4247,1696,1246,1649,359,50,19,271,252,10,23,0.3681625362804197,0.08015181960258987,0.04012841091492777,0.00447374617376972,0.06050457691448984,0.05626255860683188,0.00589622641509434,0.013561320754716982,0,0,0,0,0,0,0,0,0,NA
06001405200,001,4936,4936,4936,4936,4659,2266,835,3083,254,89,266,1078,387,307,296,0.6245948136142626,0.05145867098865478,0.10658682634730539,0.05709379695213565,0.21839546191247974,0.07840356564019449,0.1354810238305384,0.13062665489849956,0,0,0,0,0,0,0,0,0,NA
06001405301,001,2988,2988,2940,2988,2822,1556,435,1489,57,50,115,582,228,311,263,0.49832663989290493,0.019076305220883535,0.11494252873563218,0.0407512402551382,0.19795918367346937,0.07630522088353414,0.19987146529562982,0.16902313624678664,0,0,0,0,0,0,1,1,0,NA
06001405302,001,2457,2457,2457,2457,2412,1453,432,1551,245,0,399,832,450,334,419,0.6312576312576312,0.09971509971509972,0.0,0.1654228855721393,0.3386243386243386,0.18315018315018314,0.22986923606331727,0.28836889194769444,0,0,0,1,1,1,1,1,1,Higher
06001405401,001,3583,3583,3560,3560,3470,1617,729,2605,92,138,590,1001,399,446,381,0.7270443762210438,0.025676807144850683,0.18930041152263374,0.17002881844380405,0.2811797752808989,0.11207865168539326,0.2758194186765615,0.23562152133580705,1,0,1,1,0,1,1,1,1,High
06001405402,001,3492,3492,3420,3409,3325,1191,765,2822,218,104,757,1356,317,234,176,0.8081328751431844,0.06242840778923253,0.13594771241830064,0.22766917293233083,0.39649122807017545,0.09298914637723672,0.1964735516372796,0.14777497900923595,1,0,0,1,0,1,1,0,1,High
06001405500,001,3644,3644,3635,3644,3511,1561,766,2707,149,118,437,780,330,246,266,0.7428649835345774,0.040889132821075744,0.15404699738903394,0.12446596411278837,0.21458046767537828,0.09055982436882547,0.15759128763613067,0.17040358744394618,1,0,0,1,0,0,1,1,0,NA
06001405600,001,3184,3184,3184,3184,3079,1453,574,2419,58,82,234,828,395,231,291,0.7597361809045227,0.01821608040201005,0.14285714285714285,0.07599870087690809,0.2600502512562814,0.12405778894472362,0.15898141775636615,0.2002752924982794,1,0,0,0,1,1,1,1,1,High
