tract_geoid,county_fip,tot_pop_poc,tot_pop_se,tot_pop_po,tot_pop_ci,tot_pop_ov,tot_hh,tot_fam,pop_poc,pop_over75,pop_spfam,pop_lep,pop_below2,pop_disabi,pop_hus_re,pop_zvhhs,pct_poc,pct_over75,pct_spfam,pct_lep,pct_below2,pct_disab,pct_hus_re,pct_zvhhs,poc_1_2,over75_1_2,spfam_1_2,lep_1_2,disab_1_2,below2_1_2,hus_re_1_2,zvhh_1_2,epc_2050p,epc_class
06001400100,001,3269,3269,3248,3269,3136,1377,891,1014,433,108,13,274,362,0,95,0.31018660140715815,0.13245640868767208,0.12121212121212122,0.004145408163265306,0.08435960591133004,0.11073722851024778,0.0,0.06899055918663761,0,1,0,0,0,0,0,0,0,NA
06001400200,001,2147,2147,2147,2147,1978,876,516,647,268,28,14,200,186,28,83,0.30135072193758733,0.1248253376804844,0.05426356589147287,0.007077856420626896,0.09315323707498836,0.08663251047973917,0.0319634703196347,0.09474885844748858,0,1,0,0,0,0,0,0,0,NA
06001400300,001,5619,5619,5592,5619,5492,2638,1100,2329,441,185,15,631,506,189,367,0.4144865634454529,0.0784837159636946,0.16818181818181818,0.0027312454479242534,0.11283977110157367,0.09005161060686954,0.07164518574677786,0.13912054586808187,0,0,1,0,0,0,0,0,0,NA
06001400400,001,4278,4278,4226,4259,3956,1760,799,1538,184,110,19,666,394,171,249,0.3595137914913511,0.043010752688172046,0.1376720901126408,0.004802831142568251,0.1575958353052532,0.09250997886827894,0.0971590909090909,0.14147727272727273,0,0,0,0,0,0,0,0,0,NA
06001400500,001,3949,3949,3941,3949,3791,1679,831,2311,371,57,34,1054,278,225,143,0.5852114459356799,0.0939478348949101,0.06859205776173286,0.008968609865470852,0.2674448109616849,0.07039756900481134,0.13400833829660513,0.0851697438951757,0,0,0,0,0,1,0,0,0,NA
06001400600,001,2058,2058,2032,2058,1920,768,426,1153,41,73,7,308,201,101,72,0.5602526724975705,0.019922254616132166,0.17136150234741784,0.0036458333333333334,0.1515748031496063,0.09766763848396501,0.13151041666666666,0.09375,0,0,1,0,0,0,0,0,0,NA
06001400700,001,4758,4758,4758,4758,4467,2012,893,2465,207,195,67,996,667,207,279,0.5180748213535099,0.043505674653215635,0.21836506159014557,0.014998880680546228,0.20933165195460277,0.1401849516603615,0.10288270377733598,0.1386679920477137,0,0,1,0,1,0,0,0,0,NA
06001400800,001,4335,4335,4322,4321,4190,1885,857,2107,204,202,129,1093,490,186,189,0.4860438292964245,0.047058823529411764,0.23570595099183198,0.030787589498806684,0.2528921795465062,0.11339967600092571,0.0986737400530504,0.10026525198938992,0,0,1,0,0,1,0,0,0,NA
06001400900,001,2844,2844,2844,2844,2643,1113,634,1792,38,124,126,515,245,137,50,0.630098452883263,0.013361462728551337,0.19558359621451105,0.04767309875141884,0.1810829817158931,0.08614627285513361,0.12309074573225516,0.044923629829290206,0,0,1,0,0,0,0,0,0,NA
06001401000,001,6277,6277,6269,6269,5878,2302,1118,4182,80,182,151,1024,689,198,356,0.6662418352716266,0.012744941851202804,0.16279069767441862,0.025689009867301802,0.16334343595469772,0.10990588610623704,0.08601216333622937,0.15464813205907907,0,0,1,0,0,0,0,0,0,NA
06001401100,001,5537,5537,5521,5537,5317,2649,974,3212,125,247,306,1610,414,364,410,0.5800975257359581,0.02257540184215279,0.2535934291581109,0.05755125070528493,0.2916138380728129,0.07476973090121004,0.13741034352585882,0.15477538693846735,0,0,1,0,0,1,0,0,0,NA
06001401200,001,2994,2994,2987,2987,2864,1429,641,1276,127,19,54,469,212,210,163,0.42618570474281897,0.04241816967267869,0.029641185647425898,0.018854748603351956,0.15701372614663542,0.07097422162705055,0.1469559132260322,0.11406578026592022,0,0,0,0,0,0,1,0,0,NA
06001401300,001,4608,4608,4293,4293,4454,2401,517,2951,327,90,268,1259,349,357,749,0.6404079861111112,0.07096354166666667,0.17408123791102514,0.060170633138751685,0.2932681108781738,0.08129513160959702,0.14868804664723032,0.3119533527696793,0,0,1,0,0,1,1,1,1,High
06001401400,001,5392,5392,5380,5380,5095,1741,666,4012,98,197,265,2605,877,332,286,0.7440652818991098,0.01817507418397626,0.2957957957957958,0.052011776251226695,0.48420074349442377,0.16301115241635689,0.19069500287191268,0.16427340608845492,1,0,1,0,1,1,1,1,1,Higher
06001401500,001,3035,3035,2932,3035,2906,1203,508,2373,68,139,118,991,445,221,349,0.7818780889621088,0.022405271828665568,0.2736220472440945,0.040605643496214726,0.3379945429740791,0.14662273476112025,0.18370739817123857,0.29010806317539484,1,0,1,0,1,1,1,1,1,Higher
06001401600,001,2403,2403,2403,2403,2322,909,379,1957,51,167,116,802,209,147,100,0.8143986683312526,0.02122347066167291,0.44063324538258575,0.04995693367786391,0.33374947981689557,0.0869746150645027,0.1617161716171617,0.11001100110011001,1,0,1,0,0,1,1,0,1,High
06001401700,001,3276,3276,3265,3261,3189,1406,546,1789,71,181,28,828,148,80,60,0.546092796092796,0.021672771672771672,0.3315018315018315,0.008780181875195987,0.2535987748851455,0.04538485127261576,0.05689900426742532,0.04267425320056899,0,0,1,0,0,1,0,0,0,NA
06001401800,001,1709,1709,1709,1709,1563,693,375,1292,23,136,85,480,157,141,192,0.7559976594499708,0.013458162668227034,0.3626666666666667,0.05438259756877799,0.280866003510825,0.09186658864833236,0.20346320346320346,0.27705627705627706,1,0,1,0,0,1,1,1,1,High
06001402200,001,2337,2337,2313,2331,2305,924,419,1590,88,85,127,763,426,76,172,0.6803594351732991,0.037655113393239195,0.20286396181384247,0.05509761388286334,0.32987462170341547,0.18275418275418276,0.08225108225108226,0.18614718614718614,0,0,1,0,1,1,0,1,1,High
06001402400,001,2623,2623,2593,2607,2480,1242,543,2274,308,195,277,1428,452,360,474,0.8669462447579108,0.11742279832253145,0.35911602209944754,0.11169354838709677,0.5507134593135364,0.17337936325278097,0.2898550724637681,0.38164251207729466,1,1,1,1,1,1,1,1,1,Highest
06001402500,001,2010,2010,2010,2010,1945,773,422,1696,86,111,144,1152,260,121,280,0.8437810945273632,0.042786069651741296,0.26303317535545023,0.07403598971722365,0.573134328358209,0.12935323383084577,0.15653298835705046,0.36222509702457956,1,0,1,0,1,1,1,1,1,Higher
06001402600,001,1300,1300,1300,1300,1274,615,256,1177,130,71,224,667,315,99,187,0.9053846153846153,0.1,0.27734375,0.17582417582417584,0.5130769230769231,0.2423076923076923,0.16097560975609757,0.3040650406504065,1,0,1,1,1,1,1,1,1,Highest
