race_and_ethnicity,population_2018,percent_of_total_2018,population_2022,percent_of_total_2022,change,percent_change
white,3046000,40.0,2830000,37.0,-216000,-3.0
asian_and_pacific_islander,2013000,26.0,2165000,28.0,152000,2.0
hispanic_or_latino_any_race,1811000,24.0,1819000,24.0,8000,0.0
black_or_african_american,447000,6.0,438000,6.0,-9000,0.0
other,359000,5.0,434000,6.0,75000,1.0
total_population,7676000,100.0,7686000,100.0,10000,0.0
