,tract_geoid,county_fip_2021,tot_pop_poc_2021,tot_pop_se_2021,tot_pop_po_2021,tot_pop_ci_2021,tot_hh_2021,pop_zvhhs_2021,tot_fam_2021,tot_pop_ov_2021,pop_hus_re_2021,pop_poc_2021,pop_over75_2021,pop_spfam_2021,pop_lep_2021,pop_below2_2021,pop_disabi_2021,pct_poc_2021,pct_over75_2021,pct_spfam_2021,pct_lep_2021,pct_below2_2021,pct_disab_2021,pct_zvhhs_2021,pct_hus_re_2021,over75_1_2_2021,poc_1_2_2021,spfam_1_2_2021,disab_1_2_2021,lep_1_2_2021,below2_1_2_2021,zvhh_1_2_2021,hus_re_1_2_2021,epc_2050p_2021,epc_class_2021,ObjectId_2021,Shape__Area_2021,Shape__Length_2021,county_fip_2022,tot_pop_poc_2022,tot_pop_se_2022,tot_pop_po_2022,tot_pop_ci_2022,tot_pop_ov_2022,tot_hh_2022,tot_fam_2022,pop_poc_2022,pop_over75_2022,pop_spfam_2022,pop_lep_2022,pop_below2_2022,pop_disabi_2022,pop_hus_re_2022,pop_zvhhs_2022,pct_poc_2022,pct_over75_2022,pct_spfam_2022,pct_lep_2022,pct_below2_2022,pct_disab_2022,pct_hus_re_2022,pct_zvhhs_2022,poc_1_2_2022,over75_1_2_2022,spfam_1_2_2022,lep_1_2_2022,disab_1_2_2022,below2_1_2_2022,hus_re_1_2_2022,zvhh_1_2_2022,epc_2050p_2022,epc_class_2022,ObjectId_2022,Shape__Area_2022,Shape__Length_2022,epc_change,epc_change_class
0,06081606800,81,3744,3744,3716,3744,1314,0,974,3598,106,1847,373,93,96,260,244,0.4933226,0.09962607,0.09548254,0.02668149,0.06996771,0.06517094,0.0,0.08066971,0,0,0,0,0,0,0,0,0,NA,267,4569030.62109375,13848.6353163949,81,3809,3809,3782,3809,3698,1315,1011,1934,417,96,91,241,274,106,15,0.5077448,0.1094775,0.09495549,0.0246079,0.0637229,0.07193489,0.08060837,0.01140684,0,1,0,0,0,0,0,0,0,NA,1211,4589352.07421875,13829.222992952,0,no_change
1,06081606600,81,4056,4056,4056,4056,1508,78,1036,3799,205,1828,235,118,125,505,287,0.4506903,0.05793886,0.1138996,0.0329034,0.1245069,0.07075937,0.05172414,0.1359416,0,0,0,0,0,0,0,0,0,NA,266,1785690.7421875,5710.78786510355,81,3838,3838,3838,3838,3588,1478,942,1607,213,109,32,151,241,130,21,0.4187077,0.05549765,0.1157112,0.008918618,0.03934341,0.06279312,0.0879567,0.01420839,0,0,0,0,0,0,0,0,0,NA,1207,1785690.7421875,5710.78786510355,0,no_change
2,06081605100,81,3207,3207,3207,3207,1253,90,845,2980,108,1548,159,76,185,468,150,0.4826941,0.04957905,0.08994083,0.06208054,0.1459308,0.04677268,0.07182761,0.08619314,0,0,0,0,0,0,0,0,0,NA,253,4113773.12890625,8851.80706517729,81,2927,2927,2927,2927,2701,1188,749,1404,133,35,97,382,111,92,85,0.479672,0.04543902,0.04672897,0.03591263,0.130509,0.03792279,0.07744107,0.07154882,0,0,0,0,0,0,0,0,0,NA,1173,4113773.12890625,8851.80706517729,0,no_change
3,06081605000,81,8039,8039,7763,7750,2896,120,1933,7592,93,4217,1023,106,476,811,566,0.5245677,0.1272546,0.05483704,0.06269757,0.1044699,0.07303226,0.04143646,0.03211326,1,0,0,0,0,0,0,0,0,NA,252,6491292.515625,15007.2696800958,81,8194,8194,7884,7884,7685,2797,1844,4394,1010,52,428,898,433,117,84,0.5362461,0.1232609,0.02819957,0.05569291,0.1139016,0.05492136,0.04183053,0.03003218,0,1,0,0,0,0,0,0,0,NA,1171,6491292.515625,15007.2696800958,0,no_change
4,06081604900,81,3033,3033,3026,3033,1167,52,834,2780,147,2384,370,128,340,475,274,0.7860205,0.1219914,0.1534772,0.1223022,0.1569729,0.0903396,0.0445587,0.125964,1,1,0,0,1,0,0,0,0,NA,251,2453410.32421875,7757.71443147015,81,3040,3040,3032,3040,2744,1188,821,2268,424,126,299,367,303,196,51,0.7460526,0.1394737,0.1534714,0.108965,0.1210422,0.09967105,0.1649832,0.04292929,1,1,0,0,0,0,1,0,0,NA,1169,2453410.32421875,7757.71443147015,0,no_change
5,06081604800,81,5429,5429,5421,5421,1942,351,1316,5190,425,3352,458,97,341,620,641,0.617425,0.08436176,0.07370821,0.06570327,0.11437,0.1182439,0.1807415,0.2188465,0,0,0,0,0,0,1,1,0,NA,250,1687007.76953125,5425.74556988447,81,5349,5349,5343,5343,5170,1901,1275,3236,465,75,377,607,662,440,330,0.6049729,0.08693214,0.05882353,0.07292069,0.1136066,0.1239004,0.2314571,0.1735929,0,0,0,0,1,0,1,1,0,NA,1167,1687007.76953125,5425.74556988447,0,no_change
6,06081604700,81,2793,2793,2793,2793,936,22,745,2698,14,1857,232,23,95,310,139,0.6648765,0.0830648,0.03087248,0.03521127,0.1109918,0.04976727,0.02350427,0.01495726,0,0,0,0,0,0,0,0,0,NA,249,1745395.14453125,6444.16034622587,81,2801,2801,2801,2801,2698,933,722,1894,262,22,127,374,171,19,45,0.6761871,0.09353802,0.03047091,0.0470719,0.1335237,0.06104963,0.02036442,0.04823151,0,0,0,0,0,0,0,0,0,NA,1165,1745395.14453125,6444.16034622587,0,no_change
7,06081604600,81,2603,2603,2603,2603,869,24,717,2520,11,1563,362,42,103,179,234,0.600461,0.1390703,0.05857741,0.04087302,0.06876681,0.08989628,0.02761795,0.01265823,1,0,0,0,0,0,0,0,0,NA,248,2289500.91796875,7722.08524661827,81,2565,2565,2565,2565,2467,873,714,1689,365,41,127,179,219,18,21,0.6584795,0.1423002,0.05742297,0.05147953,0.06978557,0.08538011,0.02061856,0.02405498,0,1,0,0,0,0,0,0,0,NA,1163,2287500.37109375,7729.30525265363,0,no_change
8,06081604500,81,3705,3705,3668,3693,1304,77,947,3545,108,2187,431,44,97,289,318,0.5902834,0.1163293,0.04646251,0.02736248,0.07878953,0.08610886,0.05904908,0.08282208,1,0,0,0,0,0,0,0,0,NA,247,2610663.171875,8707.1392349907,81,3756,3756,3723,3749,3564,1293,895,2302,505,68,125,470,387,128,113,0.6128861,0.1344515,0.07597765,0.03507295,0.1262423,0.1032275,0.09899458,0.08739366,0,1,0,0,0,0,0,0,0,NA,1162,2610663.171875,8707.1392349907,0,no_change
9,06081604200,81,4223,4223,4191,4223,966,52,808,3949,55,3771,95,129,480,718,261,0.8929671,0.02249586,0.1596535,0.1215498,0.1713195,0.0618044,0.05383023,0.05693582,0,1,0,0,1,0,0,0,0,NA,246,2791565.078125,10357.8426641287,81,4055,4055,4055,4055,3842,917,763,3700,106,113,368,520,255,23,56,0.9124538,0.02614057,0.1480996,0.09578345,0.1282367,0.06288533,0.02508179,0.0610687,1,0,0,0,0,0,0,0,0,NA,1158,2791468.34375,10357.6313908628,0,no_change
